id	node1	node1;label	label	label;label	node2	node2;label	node2;wikidatatype	id	node1	node1;label	label	label;label	node2	node2;label	node2;wikidatatype
Q155-P2936-Q57420736-ae77845d-0	Q155	'Brazil'@en	P2936	'language used'@en	Q57420736	'Guajajára'@en	wikibase-item								
Q155-P2936-Q3915506-50844310-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3915506	'Guajá'@en	wikibase-item								
Q155-P2936-Q3027940-a662ca0c-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3027940	'Guató'@en	wikibase-item								
Q155-P2936-Q5765127-bfae7504-0	Q155	'Brazil'@en	P2936	'language used'@en	Q5765127	'Himarimã'@en	wikibase-item								
Q155-P2936-Q56522-cb04fa27-0	Q155	'Brazil'@en	P2936	'language used'@en	Q56522	'Hixkaryana'@en	wikibase-item								
Q155-P2936-Q3441418-7d565076-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3441418	'Huamoé'@en	wikibase-item								
Q155-P2936-Q304049-bd97d81f-0	Q155	'Brazil'@en	P2936	'language used'@en	Q304049	'Hunsrik'@en	wikibase-item								
Q155-P2936-Q3143384-d7d9af86-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3143384	'Hup'@en	wikibase-item								
Q155-P2936-Q9344891-7f8b0130-0	Q155	'Brazil'@en	P2936	'language used'@en	Q9344891	'Ikpeng'@en	wikibase-item								
Q155-P2936-Q3409301-92acc695-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3409301	'Irantxe'@en	wikibase-item								
Q155-P2936-Q2060023-95fc202e-0	Q155	'Brazil'@en	P2936	'language used'@en	Q2060023	'Jabutí'@en	wikibase-item								
Q155-P2936-Q3053275-cc1cc823-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3053275	'Jamamadí'@en	wikibase-item								
Q155-P2936-Q4023175-974a6719-0	Q155	'Brazil'@en	P2936	'language used'@en	Q4023175	'Jurúna'@en	wikibase-item								
Q155-P2936-Q12953587-a985b9ff-0	Q155	'Brazil'@en	P2936	'language used'@en	Q12953587	'Júma'@en	wikibase-item								
Q155-P2936-Q3322101-7a3a79d8-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3322101	'Ka\'apor Sign Language'@en	wikibase-item								
Q155-P2936-Q18168288-15ab5e27-0	Q155	'Brazil'@en	P2936	'language used'@en	Q18168288	'Kadiweu'@en	wikibase-item								
Q155-P2936-Q6348017-add8cafc-0	Q155	'Brazil'@en	P2936	'language used'@en	Q6348017	'Kaimbé'@en	wikibase-item								
Q155-P2936-Q2665734-3a248cc8-0	Q155	'Brazil'@en	P2936	'language used'@en	Q2665734	'Kaingang'@en	wikibase-item								
Q155-P2936-Q3111883-d5d7ae82-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3111883	'Kaiwá'@en	wikibase-item								
Q155-P2936-Q3192316-891b4183-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3192316	'Kamakan'@en	wikibase-item								
Q155-P2936-Q3192336-27ffd484-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3192336	'Kamayurá'@en	wikibase-item								
Q155-P2936-Q9006744-7efaf560-0	Q155	'Brazil'@en	P2936	'language used'@en	Q9006744	'Kambiwá'@en	wikibase-item								
Q155-P2936-Q3438373-1c8b1d93-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3438373	'Kanamarí'@en	wikibase-item								
Q155-P2936-Q4356223-6dc607fb-0	Q155	'Brazil'@en	P2936	'language used'@en	Q4356223	'Kanoê'@en	wikibase-item								
Q155-P2936-Q6366667-eeec9183-0	Q155	'Brazil'@en	P2936	'language used'@en	Q6366667	'Kapinawá'@en	wikibase-item								
Q155-P2936-Q10322066-60928f6d-0	Q155	'Brazil'@en	P2936	'language used'@en	Q10322066	'Karajá'@en	wikibase-item								
Q155-P2936-Q6371069-4aa0e450-0	Q155	'Brazil'@en	P2936	'language used'@en	Q6371069	'Karipuna'@en	wikibase-item								
Q155-P2936-Q6371071-e14fe3e1-0	Q155	'Brazil'@en	P2936	'language used'@en	Q6371071	'Karipuna'@en	wikibase-item								
Q155-P2936-Q2523999-7ea31cda-0	Q155	'Brazil'@en	P2936	'language used'@en	Q2523999	'Karipúna Creole French'@en	wikibase-item								
Q155-P2936-Q3112184-6769d94f-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3112184	'Karitiâna'@en	wikibase-item								
Q155-P2936-Q3440512-29b18c9f-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3440512	'Katawixi'@en	wikibase-item								
Q155-P2936-Q3450636-0ca1c98e-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3450636	'Katukína'@en	wikibase-item								
