id	node1	node1;label	label	label;label	node2	node2;label	node2;wikidatatype	id	node1	node1;label	label	label;label	node2	node2;label	node2;wikidatatype	id	node1	node1;label	label	label;label	node2	node2;label	node2;wikidatatype	id	node1	node1;label	label	label;label	node2	node2;label	node2;wikidatatype
Q155-P6-Q10304982-940c8ffb-0	Q155	'Brazil'@en	P6	'head of government'@en	Q10304982	'Jair Bolsonaro'@en	wikibase-item	Q155-P1313-Q5176750-85c807f6-0	Q155	'Brazil'@en	P1313	'office held by head of government'@en	Q5176750	'President of Brazil'@en	wikibase-item	Q155-P6-Q10304982-940c8ffb-0-P580-062eaa-0	Q155-P6-Q10304982-940c8ffb-0		P580	'start time'@en	^2019-01-01T00:00:00Z/11		time								
Q155-P6-Q463533-449831e6-0	Q155	'Brazil'@en	P6	'head of government'@en	Q463533	'Michel Temer'@en	wikibase-item	Q155-P1313-Q5176750-85c807f6-0	Q155	'Brazil'@en	P1313	'office held by head of government'@en	Q5176750	'President of Brazil'@en	wikibase-item	Q155-P6-Q463533-449831e6-0-P580-fe7de0-0	Q155-P6-Q463533-449831e6-0		P580	'start time'@en	^2016-08-31T00:00:00Z/11		time								
Q155-P6-Q463533-449831e6-0	Q155	'Brazil'@en	P6	'head of government'@en	Q463533	'Michel Temer'@en	wikibase-item	Q155-P1313-Q5176750-85c807f6-0	Q155	'Brazil'@en	P1313	'office held by head of government'@en	Q5176750	'President of Brazil'@en	wikibase-item	Q155-P6-Q463533-449831e6-0-P582-062eaa-0	Q155-P6-Q463533-449831e6-0		P582	'end time'@en	^2019-01-01T00:00:00Z/11		time								
