id	node1	node1;label	label	label;label	node2	node2;label	id	node1	node1;label	label	label;label	node2	node2;label
Q199688-P1365-Q160307-b1eb37ad-0	Q199688	'Almohad Caliphate'@en	P1365	'replaces'@en	Q160307	'Fatimid Caliphate'@en	Q199688-P1365-Q160307-b1eb37ad-0-P828	Q199688-P1365-Q160307-b1eb37ad-0		P828	'has cause'@en	unknown	
Q205718-P1365-Q160307-0f8cbd73-0	Q205718	'Zirid dynasty'@en	P1365	'replaces'@en	Q160307	'Fatimid Caliphate'@en	Q205718-P1365-Q160307-0f8cbd73-0-P580	Q205718-P1365-Q160307-0f8cbd73-0		P580	'start time'@en	unknown	
Q205718-P1365-Q160307-0f8cbd73-0	Q205718	'Zirid dynasty'@en	P1365	'replaces'@en	Q160307	'Fatimid Caliphate'@en	Q205718-P1365-Q160307-0f8cbd73-0-P585	Q205718-P1365-Q160307-0f8cbd73-0		P585	'point in time'@en	unknown	
Q205718-P1365-Q160307-0f8cbd73-0	Q205718	'Zirid dynasty'@en	P1365	'replaces'@en	Q160307	'Fatimid Caliphate'@en	Q205718-P1365-Q160307-0f8cbd73-0-P828	Q205718-P1365-Q160307-0f8cbd73-0		P828	'has cause'@en	unknown	
Q232806-P1365-Q160307-5bf1f061-0	Q232806	'County of Edessa'@en	P1365	'replaces'@en	Q160307	'Fatimid Caliphate'@en	Q232806-P1365-Q160307-5bf1f061-0-P580	Q232806-P1365-Q160307-5bf1f061-0		P580	'start time'@en	unknown	
Q232806-P1365-Q160307-5bf1f061-0	Q232806	'County of Edessa'@en	P1365	'replaces'@en	Q160307	'Fatimid Caliphate'@en	Q232806-P1365-Q160307-5bf1f061-0-P585	Q232806-P1365-Q160307-5bf1f061-0		P585	'point in time'@en	unknown	
Q232806-P1365-Q160307-5bf1f061-0	Q232806	'County of Edessa'@en	P1365	'replaces'@en	Q160307	'Fatimid Caliphate'@en	Q232806-P1365-Q160307-5bf1f061-0-P828	Q232806-P1365-Q160307-5bf1f061-0		P828	'has cause'@en	unknown	
Q235030-P1365-Q160307-5c540cd9-0	Q235030	'Principality of Antioch'@en	P1365	'replaces'@en	Q160307	'Fatimid Caliphate'@en	Q235030-P1365-Q160307-5c540cd9-0-P580	Q235030-P1365-Q160307-5c540cd9-0		P580	'start time'@en	unknown	
Q235030-P1365-Q160307-5c540cd9-0	Q235030	'Principality of Antioch'@en	P1365	'replaces'@en	Q160307	'Fatimid Caliphate'@en	Q235030-P1365-Q160307-5c540cd9-0-P585	Q235030-P1365-Q160307-5c540cd9-0		P585	'point in time'@en	unknown	
Q235030-P1365-Q160307-5c540cd9-0	Q235030	'Principality of Antioch'@en	P1365	'replaces'@en	Q160307	'Fatimid Caliphate'@en	Q235030-P1365-Q160307-5c540cd9-0-P828	Q235030-P1365-Q160307-5c540cd9-0		P828	'has cause'@en	unknown	
Q272033-P1365-Q160307-5c7434dd-0	Q272033	'County of Tripoli'@en	P1365	'replaces'@en	Q160307	'Fatimid Caliphate'@en	Q272033-P1365-Q160307-5c7434dd-0-P580	Q272033-P1365-Q160307-5c7434dd-0		P580	'start time'@en	unknown	
Q272033-P1365-Q160307-5c7434dd-0	Q272033	'County of Tripoli'@en	P1365	'replaces'@en	Q160307	'Fatimid Caliphate'@en	Q272033-P1365-Q160307-5c7434dd-0-P585	Q272033-P1365-Q160307-5c7434dd-0		P585	'point in time'@en	unknown	
Q272033-P1365-Q160307-5c7434dd-0	Q272033	'County of Tripoli'@en	P1365	'replaces'@en	Q160307	'Fatimid Caliphate'@en	Q272033-P1365-Q160307-5c7434dd-0-P828	Q272033-P1365-Q160307-5c7434dd-0		P828	'has cause'@en	unknown	
Q55502-P1365-Q160307-d98c1649-0	Q55502	'Kingdom of Jerusalem'@en	P1365	'replaces'@en	Q160307	'Fatimid Caliphate'@en	Q55502-P1365-Q160307-d98c1649-0-P580	Q55502-P1365-Q160307-d98c1649-0		P580	'start time'@en	unknown	
Q55502-P1365-Q160307-d98c1649-0	Q55502	'Kingdom of Jerusalem'@en	P1365	'replaces'@en	Q160307	'Fatimid Caliphate'@en	Q55502-P1365-Q160307-d98c1649-0-P585	Q55502-P1365-Q160307-d98c1649-0		P585	'point in time'@en	unknown	
Q55502-P1365-Q160307-d98c1649-0	Q55502	'Kingdom of Jerusalem'@en	P1365	'replaces'@en	Q160307	'Fatimid Caliphate'@en	Q55502-P1365-Q160307-d98c1649-0-P828	Q55502-P1365-Q160307-d98c1649-0		P828	'has cause'@en	unknown	
Q588672-P1365-Q160307-81a9864a-0	Q588672	'Hammadid dynasty'@en	P1365	'replaces'@en	Q160307	'Fatimid Caliphate'@en	Q588672-P1365-Q160307-81a9864a-0-P580	Q588672-P1365-Q160307-81a9864a-0		P580	'start time'@en	unknown	
Q588672-P1365-Q160307-81a9864a-0	Q588672	'Hammadid dynasty'@en	P1365	'replaces'@en	Q160307	'Fatimid Caliphate'@en	Q588672-P1365-Q160307-81a9864a-0-P585	Q588672-P1365-Q160307-81a9864a-0		P585	'point in time'@en	unknown	
Q588672-P1365-Q160307-81a9864a-0	Q588672	'Hammadid dynasty'@en	P1365	'replaces'@en	Q160307	'Fatimid Caliphate'@en	Q588672-P1365-Q160307-81a9864a-0-P828	Q588672-P1365-Q160307-81a9864a-0		P828	'has cause'@en	unknown	
Q1796198-P1365-Q199688-42ec0cd3-0	Q1796198	'Kingdom of Córdoba'@en	P1365	'replaces'@en	Q199688	'Almohad Caliphate'@en	Q1796198-P1365-Q199688-42ec0cd3-0-P580	Q1796198-P1365-Q199688-42ec0cd3-0		P580	'start time'@en	unknown	
Q1796198-P1365-Q199688-42ec0cd3-0	Q1796198	'Kingdom of Córdoba'@en	P1365	'replaces'@en	Q199688	'Almohad Caliphate'@en	Q1796198-P1365-Q199688-42ec0cd3-0-P585	Q1796198-P1365-Q199688-42ec0cd3-0		P585	'point in time'@en	unknown	
Q1796198-P1365-Q199688-42ec0cd3-0	Q1796198	'Kingdom of Córdoba'@en	P1365	'replaces'@en	Q199688	'Almohad Caliphate'@en	Q1796198-P1365-Q199688-42ec0cd3-0-P828	Q1796198-P1365-Q199688-42ec0cd3-0		P828	'has cause'@en	unknown	
Q1796239-P1365-Q199688-3390142b-0	Q1796239	'Kingdom of Seville'@en	P1365	'replaces'@en	Q199688	'Almohad Caliphate'@en	Q1796239-P1365-Q199688-3390142b-0-P580	Q1796239-P1365-Q199688-3390142b-0		P580	'start time'@en	unknown	
Q1796239-P1365-Q199688-3390142b-0	Q1796239	'Kingdom of Seville'@en	P1365	'replaces'@en	Q199688	'Almohad Caliphate'@en	Q1796239-P1365-Q199688-3390142b-0-P585	Q1796239-P1365-Q199688-3390142b-0		P585	'point in time'@en	unknown	
Q1796239-P1365-Q199688-3390142b-0	Q1796239	'Kingdom of Seville'@en	P1365	'replaces'@en	Q199688	'Almohad Caliphate'@en	Q1796239-P1365-Q199688-3390142b-0-P828	Q1796239-P1365-Q199688-3390142b-0		P828	'has cause'@en	unknown	
Q45670-P1365-Q199688-33fd9675-0	Q45670	'Kingdom of Portugal'@en	P1365	'replaces'@en	Q199688	'Almohad Caliphate'@en	Q45670-P1365-Q199688-33fd9675-0-P580	Q45670-P1365-Q199688-33fd9675-0		P580	'start time'@en	unknown	
Q45670-P1365-Q199688-33fd9675-0	Q45670	'Kingdom of Portugal'@en	P1365	'replaces'@en	Q199688	'Almohad Caliphate'@en	Q45670-P1365-Q199688-33fd9675-0-P585	Q45670-P1365-Q199688-33fd9675-0		P585	'point in time'@en	unknown	
Q45670-P1365-Q199688-33fd9675-0	Q45670	'Kingdom of Portugal'@en	P1365	'replaces'@en	Q199688	'Almohad Caliphate'@en	Q45670-P1365-Q199688-33fd9675-0-P828	Q45670-P1365-Q199688-33fd9675-0		P828	'has cause'@en	unknown	
Q582861-P1365-Q199688-4bcd5af2-0	Q582861	'Marinid Dynasty'@en	P1365	'replaces'@en	Q199688	'Almohad Caliphate'@en	Q582861-P1365-Q199688-4bcd5af2-0-P580	Q582861-P1365-Q199688-4bcd5af2-0		P580	'start time'@en	unknown	
Q582861-P1365-Q199688-4bcd5af2-0	Q582861	'Marinid Dynasty'@en	P1365	'replaces'@en	Q199688	'Almohad Caliphate'@en	Q582861-P1365-Q199688-4bcd5af2-0-P585	Q582861-P1365-Q199688-4bcd5af2-0		P585	'point in time'@en	unknown	
Q582861-P1365-Q199688-4bcd5af2-0	Q582861	'Marinid Dynasty'@en	P1365	'replaces'@en	Q199688	'Almohad Caliphate'@en	Q582861-P1365-Q199688-4bcd5af2-0-P828	Q582861-P1365-Q199688-4bcd5af2-0		P828	'has cause'@en	unknown	
Q75613-P1365-Q205708-537b2af0-0	Q75613	'Almoravid dynasty'@en	P1365	'replaces'@en	Q205708	'Taifa of Granada'@en	Q75613-P1365-Q205708-537b2af0-0-P580	Q75613-P1365-Q205708-537b2af0-0		P580	'start time'@en	unknown	
Q75613-P1365-Q205708-537b2af0-0	Q75613	'Almoravid dynasty'@en	P1365	'replaces'@en	Q205708	'Taifa of Granada'@en	Q75613-P1365-Q205708-537b2af0-0-P585	Q75613-P1365-Q205708-537b2af0-0		P585	'point in time'@en	unknown	
Q75613-P1365-Q205708-537b2af0-0	Q75613	'Almoravid dynasty'@en	P1365	'replaces'@en	Q205708	'Taifa of Granada'@en	Q75613-P1365-Q205708-537b2af0-0-P828	Q75613-P1365-Q205708-537b2af0-0		P828	'has cause'@en	unknown	
Q160307-P1365-Q207600-f82e8f77-0	Q160307	'Fatimid Caliphate'@en	P1365	'replaces'@en	Q207600	'Aghlabids'@en	Q160307-P1365-Q207600-f82e8f77-0-P580	Q160307-P1365-Q207600-f82e8f77-0		P580	'start time'@en	unknown	
Q160307-P1365-Q207600-f82e8f77-0	Q160307	'Fatimid Caliphate'@en	P1365	'replaces'@en	Q207600	'Aghlabids'@en	Q160307-P1365-Q207600-f82e8f77-0-P585	Q160307-P1365-Q207600-f82e8f77-0		P585	'point in time'@en	unknown	
Q160307-P1365-Q207600-f82e8f77-0	Q160307	'Fatimid Caliphate'@en	P1365	'replaces'@en	Q207600	'Aghlabids'@en	Q160307-P1365-Q207600-f82e8f77-0-P828	Q160307-P1365-Q207600-f82e8f77-0		P828	'has cause'@en	unknown	
Q155-P1365-Q217230-19ed8df2-0	Q155	'Brazil'@en	P1365	'replaces'@en	Q217230	'Empire of Brazil'@en	Q155-P1365-Q217230-19ed8df2-0-P580	Q155-P1365-Q217230-19ed8df2-0		P580	'start time'@en	unknown	
Q155-P1365-Q217230-19ed8df2-0	Q155	'Brazil'@en	P1365	'replaces'@en	Q217230	'Empire of Brazil'@en	Q155-P1365-Q217230-19ed8df2-0-P585	Q155-P1365-Q217230-19ed8df2-0		P585	'point in time'@en	unknown	
Q155-P1365-Q217230-19ed8df2-0	Q155	'Brazil'@en	P1365	'replaces'@en	Q217230	'Empire of Brazil'@en	Q155-P1365-Q217230-19ed8df2-0-P828	Q155-P1365-Q217230-19ed8df2-0		P828	'has cause'@en	unknown	
