id	node1	node1;label	label	label;label	node2	node2;label	id	node1	node1;label	label	label;label	node2	node2;label
Q267484-P576-30cc1c-1f503dae-0	Q267484	'Taifa of Málaga'@en	P576	P576	^1239-01-01T00:00:00Z/9		Q267484-P576-30cc1c-1f503dae-0-P580	Q267484-P576-30cc1c-1f503dae-0		P580	'start time'@en	unknown	
Q267484-P576-30cc1c-1f503dae-0	Q267484	'Taifa of Málaga'@en	P576	P576	^1239-01-01T00:00:00Z/9		Q267484-P576-30cc1c-1f503dae-0-P585	Q267484-P576-30cc1c-1f503dae-0		P585	'point in time'@en	unknown	
Q267484-P576-30cc1c-1f503dae-0	Q267484	'Taifa of Málaga'@en	P576	P576	^1239-01-01T00:00:00Z/9		Q267484-P576-30cc1c-1f503dae-0-P828	Q267484-P576-30cc1c-1f503dae-0		P828	'has cause'@en	unknown	
Q431575-P576-b1cc0d-fbe949d6-0	Q431575	'Idrisid dynasty'@en	P576	P576	^0974-01-01T00:00:00Z/9		Q431575-P576-b1cc0d-fbe949d6-0-P580	Q431575-P576-b1cc0d-fbe949d6-0		P580	'start time'@en	unknown	
Q431575-P576-b1cc0d-fbe949d6-0	Q431575	'Idrisid dynasty'@en	P576	P576	^0974-01-01T00:00:00Z/9		Q431575-P576-b1cc0d-fbe949d6-0-P585	Q431575-P576-b1cc0d-fbe949d6-0		P585	'point in time'@en	unknown	
Q431575-P576-b1cc0d-fbe949d6-0	Q431575	'Idrisid dynasty'@en	P576	P576	^0974-01-01T00:00:00Z/9		Q431575-P576-b1cc0d-fbe949d6-0-P828	Q431575-P576-b1cc0d-fbe949d6-0		P828	'has cause'@en	unknown	
Q45670-P576-6d24e9-910670d6-0	Q45670	'Kingdom of Portugal'@en	P576	P576	^1910-10-05T00:00:00Z/11		Q45670-P576-6d24e9-910670d6-0-P580	Q45670-P576-6d24e9-910670d6-0		P580	'start time'@en	unknown	
Q45670-P576-6d24e9-910670d6-0	Q45670	'Kingdom of Portugal'@en	P576	P576	^1910-10-05T00:00:00Z/11		Q45670-P576-6d24e9-910670d6-0-P585	Q45670-P576-6d24e9-910670d6-0		P585	'point in time'@en	unknown	
Q45670-P576-6d24e9-910670d6-0	Q45670	'Kingdom of Portugal'@en	P576	P576	^1910-10-05T00:00:00Z/11		Q45670-P576-6d24e9-910670d6-0-P828	Q45670-P576-6d24e9-910670d6-0		P828	'has cause'@en	unknown	
Q5947557-P576-e3c63c-4ca54981-0	Q5947557	'Taifa of Ceuta (1061-1084)'@en	P576	P576	^1084-01-01T00:00:00Z/9		Q5947557-P576-e3c63c-4ca54981-0-P580	Q5947557-P576-e3c63c-4ca54981-0		P580	'start time'@en	unknown	
