id	node1	node1;label	label	label;label	node2	node2;label	id	node1	node1;label	label	label;label	node2	node2;label	id	node1	node1;label	label	label;label	node2	node2;label
Q155-P35-Q40722-9755b85b-0	Q155	'Brazil'@en	P35	'head of state'@en	Q40722	'Dilma Rousseff'@en	Q155-P35-Q40722-9755b85b-0-P580-8a194a-0	Q155-P35-Q40722-9755b85b-0		P580	'start time'@en	^2011-01-01T00:00:00Z/11		ckg:c2	ckgT1	Temporal	ckgr1	ckg:Represented By	P580	'start time'@en
Q155-P35-Q236503-8f926bc0-0	Q155	'Brazil'@en	P35	'head of state'@en	Q236503	'Fernando Collor de Mello'@en	Q155-P35-Q236503-8f926bc0-0-P580-13ccac-0	Q155-P35-Q236503-8f926bc0-0		P580	'start time'@en	^1990-03-15T00:00:00Z/11		ckg:c2	ckgT1	Temporal	ckgr1	ckg:Represented By	P580	'start time'@en
Q155-P35-Q230578-cbb0f2ec-0	Q155	'Brazil'@en	P35	'head of state'@en	Q230578	'Fernando Henrique Cardoso'@en	Q155-P35-Q230578-cbb0f2ec-0-P580-bbd26e-0	Q155-P35-Q230578-cbb0f2ec-0		P580	'start time'@en	^1995-01-01T00:00:00Z/11		ckg:c2	ckgT1	Temporal	ckgr1	ckg:Represented By	P580	'start time'@en
Q155-P35-Q485946-0e2d65bf-0	Q155	'Brazil'@en	P35	'head of state'@en	Q485946	'Itamar Franco'@en	Q155-P35-Q485946-0e2d65bf-0-P580-6188ed-0	Q155-P35-Q485946-0e2d65bf-0		P580	'start time'@en	^1992-12-29T00:00:00Z/11		ckg:c2	ckgT1	Temporal	ckgr1	ckg:Represented By	P580	'start time'@en
Q155-P35-Q10304982-20d3e965-0	Q155	'Brazil'@en	P35	'head of state'@en	Q10304982	'Jair Bolsonaro'@en	Q155-P35-Q10304982-20d3e965-0-P580-062eaa-0	Q155-P35-Q10304982-20d3e965-0		P580	'start time'@en	^2019-01-01T00:00:00Z/11		ckg:c2	ckgT1	Temporal	ckgr1	ckg:Represented By	P580	'start time'@en
Q155-P35-Q37181-f6e1088b-0	Q155	'Brazil'@en	P35	'head of state'@en	Q37181	'Luiz Inácio Lula da Silva'@en	Q155-P35-Q37181-f6e1088b-0-P580-ab09ed-0	Q155-P35-Q37181-f6e1088b-0		P580	'start time'@en	^2003-01-01T00:00:00Z/11		ckg:c2	ckgT1	Temporal	ckgr1	ckg:Represented By	P580	'start time'@en
Q155-P35-Q463533-cd253216-0	Q155	'Brazil'@en	P35	'head of state'@en	Q463533	'Michel Temer'@en	Q155-P35-Q463533-cd253216-0-P580-fe7de0-0	Q155-P35-Q463533-cd253216-0		P580	'start time'@en	^2016-08-31T00:00:00Z/11		ckg:c2	ckgT1	Temporal	ckgr1	ckg:Represented By	P580	'start time'@en
