id	node1	node1;label	label	label;label	node2	node2;label	node2;wikidatatype	id	node1	node1;label	label	label;label	node2	node2;label	node2;wikidatatype	id	node1	node1;label	label	label;label	node2	node2;label	node2;wikidatatype	id	node1	node1;label	label	label;label	node2	node2;label	node2;wikidatatype
Q96-P35-Q296741-0ddd6e11-0	Q96	'Mexico'@en	P35	'head of state'@en	Q296741	'Enrique Peña Nieto'@en	wikibase-item	Q96-P1906-Q628004-eab0fd38-0	Q96	'Mexico'@en	P1906	'office held by head of state'@en	Q628004	'President of Mexico'@en	wikibase-item	Q96-P35-Q296741-0ddd6e11-0-P580-d47687-0	Q96-P35-Q296741-0ddd6e11-0		P580	'start time'@en	^2012-12-01T00:00:00Z/11		time								
Q96-P35-Q296741-0ddd6e11-0	Q96	'Mexico'@en	P35	'head of state'@en	Q296741	'Enrique Peña Nieto'@en	wikibase-item	Q96-P1906-Q628004-eab0fd38-0	Q96	'Mexico'@en	P1906	'office held by head of state'@en	Q628004	'President of Mexico'@en	wikibase-item	Q96-P35-Q296741-0ddd6e11-0-P582-1f99d4-0	Q96-P35-Q296741-0ddd6e11-0		P582	'end time'@en	^2018-12-01T00:00:00Z/11		time								
Q96-P35-Q298149-dbc1547b-0	Q96	'Mexico'@en	P35	'head of state'@en	Q298149	'Ernesto Zedillo'@en	wikibase-item	Q96-P1906-Q628004-eab0fd38-0	Q96	'Mexico'@en	P1906	'office held by head of state'@en	Q628004	'President of Mexico'@en	wikibase-item	Q96-P35-Q298149-dbc1547b-0-P580-106e6d-0	Q96-P35-Q298149-dbc1547b-0		P580	'start time'@en	^1994-01-01T00:00:00Z/9		time								
Q96-P35-Q298149-dbc1547b-0	Q96	'Mexico'@en	P35	'head of state'@en	Q298149	'Ernesto Zedillo'@en	wikibase-item	Q96-P1906-Q628004-eab0fd38-0	Q96	'Mexico'@en	P1906	'office held by head of state'@en	Q628004	'President of Mexico'@en	wikibase-item	Q96-P35-Q298149-dbc1547b-0-P582-fdc07b-0	Q96-P35-Q298149-dbc1547b-0		P582	'end time'@en	^2000-01-01T00:00:00Z/9		time								
Q96-P35-Q57269-9ad48da2-0	Q96	'Mexico'@en	P35	'head of state'@en	Q57269	'Felipe Calderón'@en	wikibase-item	Q96-P1906-Q628004-eab0fd38-0	Q96	'Mexico'@en	P1906	'office held by head of state'@en	Q628004	'President of Mexico'@en	wikibase-item	Q96-P35-Q57269-9ad48da2-0-P582-d47687-0	Q96-P35-Q57269-9ad48da2-0		P582	'end time'@en	^2012-12-01T00:00:00Z/11		time								
Q96-P35-Q216766-094aceb4-0	Q96	'Mexico'@en	P35	'head of state'@en	Q216766	'Francisco I. Madero'@en	wikibase-item	Q96-P1906-Q628004-eab0fd38-0	Q96	'Mexico'@en	P1906	'office held by head of state'@en	Q628004	'President of Mexico'@en	wikibase-item	Q96-P35-Q216766-094aceb4-0-P580-db14a5-0	Q96-P35-Q216766-094aceb4-0		P580	'start time'@en	^1911-01-01T00:00:00Z/9		time								
Q96-P35-Q216766-094aceb4-0	Q96	'Mexico'@en	P35	'head of state'@en	Q216766	'Francisco I. Madero'@en	wikibase-item	Q96-P1906-Q628004-eab0fd38-0	Q96	'Mexico'@en	P1906	'office held by head of state'@en	Q628004	'President of Mexico'@en	wikibase-item	Q96-P35-Q216766-094aceb4-0-P582-622b40-0	Q96-P35-Q216766-094aceb4-0		P582	'end time'@en	^1913-01-01T00:00:00Z/9		time								
Q96-P35-Q372164-6d8ccf09-0	Q96	'Mexico'@en	P35	'head of state'@en	Q372164	'Francisco S. Carvajal'@en	wikibase-item	Q96-P1906-Q628004-eab0fd38-0	Q96	'Mexico'@en	P1906	'office held by head of state'@en	Q628004	'President of Mexico'@en	wikibase-item	Q96-P35-Q372164-6d8ccf09-0-P580-3a56ea-0	Q96-P35-Q372164-6d8ccf09-0		P580	'start time'@en	^1914-07-15T00:00:00Z/11		time								
Q96-P35-Q372164-6d8ccf09-0	Q96	'Mexico'@en	P35	'head of state'@en	Q372164	'Francisco S. Carvajal'@en	wikibase-item	Q96-P1906-Q628004-eab0fd38-0	Q96	'Mexico'@en	P1906	'office held by head of state'@en	Q628004	'President of Mexico'@en	wikibase-item	Q96-P35-Q372164-6d8ccf09-0-P582-9dab1d-0	Q96-P35-Q372164-6d8ccf09-0		P582	'end time'@en	^1914-08-13T00:00:00Z/11		time								
Q96-P35-Q315637-a7946a9e-0	Q96	'Mexico'@en	P35	'head of state'@en	Q315637	'Gustavo Díaz-Ordaz Bolaños'@en	wikibase-item	Q96-P1906-Q628004-eab0fd38-0	Q96	'Mexico'@en	P1906	'office held by head of state'@en	Q628004	'President of Mexico'@en	wikibase-item	Q96-P35-Q315637-a7946a9e-0-P580-74a573-0	Q96-P35-Q315637-a7946a9e-0		P580	'start time'@en	^1964-01-01T00:00:00Z/9		time								
Q96-P35-Q315637-a7946a9e-0	Q96	'Mexico'@en	P35	'head of state'@en	Q315637	'Gustavo Díaz-Ordaz Bolaños'@en	wikibase-item	Q96-P1906-Q628004-eab0fd38-0	Q96	'Mexico'@en	P1906	'office held by head of state'@en	Q628004	'President of Mexico'@en	wikibase-item	Q96-P35-Q315637-a7946a9e-0-P582-b399ac-0	Q96-P35-Q315637-a7946a9e-0		P582	'end time'@en	^1970-01-01T00:00:00Z/9		time								
Q96-P35-Q315613-156fa9cc-0	Q96	'Mexico'@en	P35	'head of state'@en	Q315613	'José López Portillo'@en	wikibase-item	Q96-P1906-Q628004-eab0fd38-0	Q96	'Mexico'@en	P1906	'office held by head of state'@en	Q628004	'President of Mexico'@en	wikibase-item	Q96-P35-Q315613-156fa9cc-0-P580-8f0747-0	Q96-P35-Q315613-156fa9cc-0		P580	'start time'@en	^1976-01-01T00:00:00Z/9		time								
Q96-P35-Q315613-156fa9cc-0	Q96	'Mexico'@en	P35	'head of state'@en	Q315613	'José López Portillo'@en	wikibase-item	Q96-P1906-Q628004-eab0fd38-0	Q96	'Mexico'@en	P1906	'office held by head of state'@en	Q628004	'President of Mexico'@en	wikibase-item	Q96-P35-Q315613-156fa9cc-0-P582-0e8321-0	Q96-P35-Q315613-156fa9cc-0		P582	'end time'@en	^1982-01-01T00:00:00Z/9		time								
