node1	node1;label	node1;valuetype	node1;valuetype_label	label	node2
P805	'statement is subject of'@en	Q1054581	'buffer zone'@en	count	4
P805	'statement is subject of'@en	Q11514315	'historical period'@en	count	4
P805	'statement is subject of'@en	Q15239622	'disputed territory'@en	count	4
P805	'statement is subject of'@en	Q198	'war'@en	count	4
P805	'statement is subject of'@en	Q19832712	'historical administrative division'@en	count	4
P805	'statement is subject of'@en	Q271669	'landform'@en	count	4
P805	'statement is subject of'@en	Q312461	'terra nullius'@en	count	4
P805	'statement is subject of'@en	Q41691	'demilitarized zone'@en	count	4
P805	'statement is subject of'@en	Q72828988	'multilateral relation'@en	count	4
P805	'statement is subject of'@en	Q7755	'constitution'@en	count	4
P807	'separated from'@en	Q51576574	'Mediterranean country'@en	count	4
P828	'has cause'@en	Q3024240	'historical country'@en	count	4
P828	'has cause'@en	Q45382	'coup d\'état'@en	count	4
P828	'has cause'@en	Q820655	'statute'@en	count	4
P1001	'applies to jurisdiction'@en	Q192611	'electoral district'@en	count	3
P1001	'applies to jurisdiction'@en	Q20181813	'colonial power'@en	count	3
P1001	'applies to jurisdiction'@en	Q3024240	'historical country'@en	count	3
P1011	'excluding'@en	Q104117291	'region of Spain'@en	count	3
P1011	'excluding'@en	Q10742	'autonomous community of Spain'@en	count	3
P1011	'excluding'@en	Q2736168	'historical nationality'@en	count	3
P1011	'excluding'@en	Q56061	'administrative territorial entity'@en	count	3
P1011	'excluding'@en	Q6465	'department of France'@en	count	3
P1012	'including'@en	Q23442	'island'@en	count	3
P1013	'criterion used'@en	Q1207505	'quality'@en	count	3
P1013	'criterion used'@en	Q14946528	'conflation'@en	count	3
P1013	'criterion used'@en	Q3062294	'Latin phrase'@en	count	3
P1264	'valid in period'@en	Q5	'human'@en	count	3
P131	'located in the administrative territorial entity'@en	Q161243	'dependent territory'@en	count	3
P131	'located in the administrative territorial entity'@en	Q2074737	'municipality of Spain'@en	count	3
P131	'located in the administrative territorial entity'@en	Q36784	'region of France'@en	count	3
P131	'located in the administrative territorial entity'@en	Q856076	'municipality of Finland'@en	count	3
P1310	'statement disputed by'@en	Q112099	'island nation'@en	count	3
P1310	'statement disputed by'@en	Q118365	'dictatorship of the proletariat'@en	count	3
P1310	'statement disputed by'@en	Q1323642	'transcontinental country'@en	count	3
P1310	'statement disputed by'@en	Q1520223	'constitutional republic'@en	count	3
P1310	'statement disputed by'@en	Q43702	'federation'@en	count	3
P1310	'statement disputed by'@en	Q5255892	'democratic republic'@en	count	3
P1310	'statement disputed by'@en	Q842112	'socialist state'@en	count	3
P1310	'statement disputed by'@en	Q849866	'communist state'@en	count	3
P1365	'replaces'@en	Q23691	'national anthem'@en	count	3
P1365	'replaces'@en	Q417175	'kingdom'@en	count	3
P1365	'replaces'@en	Q515	'city'@en	count	3
P1366	'replaced by'@en	Q1323642	'transcontinental country'@en	count	3
P1366	'replaced by'@en	Q1520223	'constitutional republic'@en	count	3
P1366	'replaced by'@en	Q1549591	'big city'@en	count	3
P1366	'replaced by'@en	Q23691	'national anthem'@en	count	3
P1366	'replaced by'@en	Q51576574	'Mediterranean country'@en	count	3
P1416	'affiliation'@en	Q79913	'non-governmental organization'@en	count	3
P155	'follows'@en	Q512187	'federal republic'@en	count	3
P156	'followed by'@en	Q4209223	'Rechtsstaat'@en	count	3
P156	'followed by'@en	Q619610	'social state'@en	count	3
P159	'headquarters location'@en	Q16560	'palace'@en	count	3
P17	'country'@en	Q112099	'island nation'@en	count	3
P17	'country'@en	Q15304003	'country of the Kingdom of the Netherlands'@en	count	3
P2354	'has list'@en	Q13406463	'Wikimedia list article'@en	count	3
P276	'location'@en	Q15629617	'unorganized atoll of American Samoa'@en	count	3
P276	'location'@en	Q191992	'headland'@en	count	3
P276	'location'@en	Q3257686	'locality'@en	count	3
P276	'location'@en	Q486972	'human settlement'@en	count	3
P276	'location'@en	Q6644703	'village in British Columbia'@en	count	3
P282	'writing system'@en	Q30016797	'Arabic script based alphabet'@en	count	3
P2868	'subject has role'@en	Q104098715	'territorial entity type'@en	count	3
P2868	'subject has role'@en	Q1097498	'ruler'@en	count	3
P2868	'subject has role'@en	Q28640	'profession'@en	count	3
P2868	'subject has role'@en	Q47488809	'country for sports'@en	count	3
P2868	'subject has role'@en	Q7810129	'title of authority'@en	count	3
P2868	'subject has role'@en	Q82799	'name'@en	count	3
P3005	'valid in place'@en	Q133442	'city-state'@en	count	3
P3005	'valid in place'@en	Q23442	'island'@en	count	3
P31	'instance of'@en	Q111691402	'user account quality'@en	count	3
P31	'instance of'@en	Q7755	'constitution'@en	count	3
P366	'has use'@en	Q162378	'grammatical gender'@en	count	3
P3680	'statement supported by'@en	Q10876391	'Wikipedia language edition'@en	count	3
P3680	'statement supported by'@en	Q15633582	'MediaWiki website'@en	count	3
P3680	'statement supported by'@en	Q15634554	'state with limited recognition'@en	count	3
P3680	'statement supported by'@en	Q6256	'country'@en	count	3
P3680	'statement supported by'@en	Q814232	'survey methodology'@en	count	3
P3831	'object has role'@en	Q15617994	'designation for an administrative territorial entity'@en	count	3
P3831	'object has role'@en	Q286576	'register'@en	count	3
P3831	'object has role'@en	Q56808349	'language status'@en	count	3
P39	'position held'@en	Q317	'dictatorship'@en	count	3
P39	'position held'@en	Q48352	'head of state'@en	count	3
P407	'language of work or name'@en	Q13418005	'languages of Occitania'@en	count	3
P407	'language of work or name'@en	Q17376908	'languoid'@en	count	3
P407	'language of work or name'@en	Q3329375	'language variety'@en	count	3
P4070	'identifier shared with'@en	Q3024240	'historical country'@en	count	3
P4241	'refine date'@en	Q26907166	'temporal entity'@en	count	3
P459	'determination method'@en	Q11862829	'academic discipline'@en	count	3
P459	'determination method'@en	Q1190554	'occurrence'@en	count	3
P459	'determination method'@en	Q15194024	'resident registration'@en	count	3
P459	'determination method'@en	Q22338585	'Brazilian legislative election'@en	count	3
P459	'determination method'@en	Q39825	'census'@en	count	3
P459	'determination method'@en	Q5058981	'census in the United Kingdom'@en	count	3
P4649	'identity of subject in context'@en	Q164950	'dynasty'@en	count	3
P4649	'identity of subject in context'@en	Q189898	'emirate'@en	count	3
P4649	'identity of subject in context'@en	Q236036	'republics of the Soviet Union'@en	count	3
P4649	'identity of subject in context'@en	Q43702	'federation'@en	count	3
P4649	'identity of subject in context'@en	Q678116	'government in exile'@en	count	3
P4649	'identity of subject in context'@en	Q731236	'Statute of Autonomy'@en	count	3
P518	'applies to part'@en	Q1138279	'associated state'@en	count	3
P518	'applies to part'@en	Q1200957	'tourist destination'@en	count	3
P518	'applies to part'@en	Q1221156	'federal state of Germany'@en	count	3
P518	'applies to part'@en	Q1307214	'form of government'@en	count	3
P518	'applies to part'@en	Q14192199	'territory of Australia'@en	count	3
P518	'applies to part'@en	Q14192234	'mainland territory of Australia'@en	count	3
P518	'applies to part'@en	Q15618452	'state of the Federated States of Micronesia'@en	count	3
P518	'applies to part'@en	Q183342	'federal city of Russia'@en	count	3
P518	'applies to part'@en	Q196068	'lordship'@en	count	3
P518	'applies to part'@en	Q200250	'metropolis'@en	count	3
P518	'applies to part'@en	Q20667921	'type of French administrative division'@en	count	3
P518	'applies to part'@en	Q2221906	'geographic location'@en	count	3
P518	'applies to part'@en	Q236036	'republics of the Soviet Union'@en	count	3
P518	'applies to part'@en	Q268592	'industry'@en	count	3
P518	'applies to part'@en	Q28640	'profession'@en	count	3
P518	'applies to part'@en	Q41710	'ethnic group'@en	count	3
P518	'applies to part'@en	Q50330360	'second largest city'@en	count	3
P518	'applies to part'@en	Q55983715	'organisms known by a particular common name'@en	count	3
P518	'applies to part'@en	Q570116	'tourist attraction'@en	count	3
P518	'applies to part'@en	Q719987	'province of Ecuador'@en	count	3
P518	'applies to part'@en	Q7252696	'province of Spanish America'@en	count	3
P518	'applies to part'@en	Q7930989	'city/town'@en	count	3
P527	'has part or parts'@en	Q41487	'court'@en	count	3
P531	'diplomatic mission sent'@en	Q23891529	'honorary consulate'@en	count	3
P531	'diplomatic mission sent'@en	Q4824242	'Australian High Commission'@en	count	3
P531	'diplomatic mission sent'@en	Q98675100	'vice-ministerial level institution'@en	count	3
P642	'of'@en	Q1336152	'princely state'@en	count	3
P642	'of'@en	Q1351282	'crown colony'@en	count	3
P642	'of'@en	Q1371288	'vassal state'@en	count	3
P642	'of'@en	Q154547	'duchy'@en	count	3
P642	'of'@en	Q170156	'confederation'@en	count	3
P642	'of'@en	Q17544377	'history of a country or state'@en	count	3
P642	'of'@en	Q190967	'Crusader states'@en	count	3
P642	'of'@en	Q1914636	'activity'@en	count	3
P642	'of'@en	Q28171280	'ancient civilization'@en	count	3
P642	'of'@en	Q3502482	'cultural region'@en	count	3
P642	'of'@en	Q4204501	'historical ethnic group'@en	count	3
P642	'of'@en	Q5255892	'democratic republic'@en	count	3
P642	'of'@en	Q5284036	'divided region'@en	count	3
P642	'of'@en	Q5588651	'governing body'@en	count	3
P642	'of'@en	Q619610	'social state'@en	count	3
P642	'of'@en	Q63438000	'climate emergency declaration'@en	count	3
P642	'of'@en	Q63791824	'country bordering the Baltic Sea'@en	count	3
P642	'of'@en	Q6866562	'ministry'@en	count	3
P706	'located in/on physical feature'@en	Q1549591	'big city'@en	count	3
P706	'located in/on physical feature'@en	Q191992	'headland'@en	count	3
P706	'located in/on physical feature'@en	Q24529780	'point'@en	count	3
P706	'located in/on physical feature'@en	Q515	'city'@en	count	3
P706	'located in/on physical feature'@en	Q8502	'mountain'@en	count	3
P748	'appointed by'@en	Q5	'human'@en	count	3
P805	'statement is subject of'@en	Q1078001	'territorial dispute'@en	count	3
P805	'statement is subject of'@en	Q180684	'conflict'@en	count	3
P805	'statement is subject of'@en	Q194465	'annexation'@en	count	3
P805	'statement is subject of'@en	Q231002	'nationality'@en	count	3
P805	'statement is subject of'@en	Q23442	'island'@en	count	3
P805	'statement is subject of'@en	Q2472587	'people'@en	count	3
P805	'statement is subject of'@en	Q34763	'peninsula'@en	count	3
P805	'statement is subject of'@en	Q57821	'fortification'@en	count	3
P805	'statement is subject of'@en	Q6256	'country'@en	count	3
P805	'statement is subject of'@en	Q7884789	'toponym'@en	count	3
P807	'separated from'@en	Q1351282	'crown colony'@en	count	3
P807	'separated from'@en	Q20181813	'colonial power'@en	count	3
P807	'separated from'@en	Q5852411	'state of Australia'@en	count	3
P828	'has cause'@en	Q1464916	'declaration of independence'@en	count	3
P828	'has cause'@en	Q1572600	'proclamation'@en	count	3
P828	'has cause'@en	Q5	'human'@en	count	3
P837	'day in year for periodic occurrence'@en	Q47164206	'day in the Eastern Orthodox liturgical calendar'@en	count	3
P86	'composer'@en	Q5	'human'@en	count	3
P92	'main regulatory text'@en	Q131569	'treaty'@en	count	3
P92	'main regulatory text'@en	Q2368137	'Basic Laws of Israel'@en	count	3
P92	'main regulatory text'@en	Q846882	'sources of law'@en	count	3
P1001	'applies to jurisdiction'@en	Q1151616	'stateless nation'@en	count	2
P1001	'applies to jurisdiction'@en	Q184122	'autonomous okrug of Russia'@en	count	2
P1001	'applies to jurisdiction'@en	Q26934845	'integral overseas territory'@en	count	2
P1001	'applies to jurisdiction'@en	Q51576574	'Mediterranean country'@en	count	2
P1001	'applies to jurisdiction'@en	Q63791824	'country bordering the Baltic Sea'@en	count	2
P1001	'applies to jurisdiction'@en	Q7270	'republic'@en	count	2
P1011	'excluding'@en	Q10864048	'first-level administrative country subdivision'@en	count	2
P1011	'excluding'@en	Q11687019	'external territory of Australia'@en	count	2
P1011	'excluding'@en	Q1549591	'big city'@en	count	2
P1011	'excluding'@en	Q18810091	'census division of Canada'@en	count	2
P1011	'excluding'@en	Q28575	'county'@en	count	2
P1011	'excluding'@en	Q783953	'territorial claims in Antarctica'@en	count	2
P1012	'including'@en	Q165	'sea'@en	count	2
P1012	'including'@en	Q312461	'terra nullius'@en	count	2
P1012	'including'@en	Q33837	'archipelago'@en	count	2
P102	'member of political party'@en	Q1030814	'big tent'@en	count	2
P102	'member of political party'@en	Q766570	'Political parties in Russia'@en	count	2
P122	'basic form of government'@en	Q1307214	'form of government'@en	count	2
P1264	'valid in period'@en	Q138796	'resistance movement'@en	count	2
P131	'located in the administrative territorial entity'@en	Q1048835	'political territorial entity'@en	count	2
P131	'located in the administrative territorial entity'@en	Q1724017	'canton of Ecuador'@en	count	2
P131	'located in the administrative territorial entity'@en	Q202216	'overseas department and region of France'@en	count	2
P131	'located in the administrative territorial entity'@en	Q3024240	'historical country'@en	count	2
P131	'located in the administrative territorial entity'@en	Q462778	'insular area'@en	count	2
P131	'located in the administrative territorial entity'@en	Q783733	'unincorporated territory'@en	count	2
P131	'located in the administrative territorial entity'@en	Q788046	'autonomous soviet socialist republic of a union republic of the Soviet Union'@en	count	2
P1310	'statement disputed by'@en	Q123480	'landlocked country'@en	count	2
P1310	'statement disputed by'@en	Q13147896	'plenary session'@en	count	2
P1310	'statement disputed by'@en	Q1470641	'parliamentary assembly'@en	count	2
P1310	'statement disputed by'@en	Q15899789	'principal organ of the United Nations'@en	count	2
P1310	'statement disputed by'@en	Q3024240	'historical country'@en	count	2
P1310	'statement disputed by'@en	Q51576574	'Mediterranean country'@en	count	2
P1310	'statement disputed by'@en	Q97374157	'international parliament'@en	count	2
P1365	'replaces'@en	Q105543609	'musical work/composition'@en	count	2
P1365	'replaces'@en	Q1138279	'associated state'@en	count	2
P1365	'replaces'@en	Q1147395	'district of Turkey'@en	count	2
P1365	'replaces'@en	Q1323642	'transcontinental country'@en	count	2
P1365	'replaces'@en	Q1620908	'historical region'@en	count	2
P1365	'replaces'@en	Q202686	'Commonwealth realm'@en	count	2
P1365	'replaces'@en	Q339180	'pound'@en	count	2
P1365	'replaces'@en	Q465613	'people\'s republic'@en	count	2
P1365	'replaces'@en	Q50330360	'second largest city'@en	count	2
P1365	'replaces'@en	Q512187	'federal republic'@en	count	2
P1365	'replaces'@en	Q59281	'provisional government'@en	count	2
P1365	'replaces'@en	Q6256	'country'@en	count	2
P1365	'replaces'@en	Q7275	'state'@en	count	2
P1366	'replaced by'@en	Q1062083	'billionaire'@en	count	2
P1366	'replaced by'@en	Q118365	'dictatorship of the proletariat'@en	count	2
P1366	'replaced by'@en	Q15634554	'state with limited recognition'@en	count	2
P1366	'replaced by'@en	Q1637706	'million city'@en	count	2
P1366	'replaced by'@en	Q22670030	'former French region'@en	count	2
P1366	'replaced by'@en	Q465613	'people\'s republic'@en	count	2
P1366	'replaced by'@en	Q512187	'federal republic'@en	count	2
P1366	'replaced by'@en	Q842112	'socialist state'@en	count	2
P1366	'replaced by'@en	Q849866	'communist state'@en	count	2
P1433	'published in'@en	Q2065227	'official journal'@en	count	2
P144	'based on'@en	Q19826567	'Wikivoyage language edition'@en	count	2
P1444	'destination point'@en	Q185113	'cape'@en	count	2
P1444	'destination point'@en	Q191992	'headland'@en	count	2
P1478	'has immediate cause'@en	Q1464916	'declaration of independence'@en	count	2
P1534	'end cause'@en	Q1190554	'occurrence'@en	count	2
P1534	'end cause'@en	Q131569	'treaty'@en	count	2
P1534	'end cause'@en	Q13418847	'historical event'@en	count	2
P1534	'end cause'@en	Q138796	'resistance movement'@en	count	2
P1534	'end cause'@en	Q2112892	'Pronunciamiento'@en	count	2
P1534	'end cause'@en	Q24238946	'liberation'@en	count	2
P1534	'end cause'@en	Q2996394	'biological process'@en	count	2
P1534	'end cause'@en	Q3459291	'Oi'@en	count	2
P1534	'end cause'@en	Q59281	'provisional government'@en	count	2
P1534	'end cause'@en	Q7755	'constitution'@en	count	2
P1535	'used by'@en	Q12443800	'state of India'@en	count	2
P1535	'used by'@en	Q1798550	'petty kingdom'@en	count	2
P1535	'used by'@en	Q3624078	'sovereign state'@en	count	2
P1535	'used by'@en	Q467745	'union territory of India'@en	count	2
P155	'follows'@en	Q112099	'island nation'@en	count	2
P155	'follows'@en	Q11514315	'historical period'@en	count	2
P155	'follows'@en	Q1323642	'transcontinental country'@en	count	2
P155	'follows'@en	Q15634554	'state with limited recognition'@en	count	2
P155	'follows'@en	Q28575	'county'@en	count	2
P155	'follows'@en	Q5	'human'@en	count	2
P155	'follows'@en	Q5255892	'democratic republic'@en	count	2
P1552	'has quality'@en	Q162378	'grammatical gender'@en	count	2
P1552	'has quality'@en	Q37113960	'estimate'@en	count	2
P156	'followed by'@en	Q1250464	'realm'@en	count	2
P156	'followed by'@en	Q18285142	'oblast of a union republic of the Soviet Union'@en	count	2
P159	'headquarters location'@en	Q15020931	'hôtel de ville'@en	count	2
P17	'country'@en	Q185145	'great power'@en	count	2
P17	'country'@en	Q20181813	'colonial power'@en	count	2
P17	'country'@en	Q41614	'constitutional monarchy'@en	count	2
P17	'country'@en	Q417175	'kingdom'@en	count	2
P17	'country'@en	Q51576574	'Mediterranean country'@en	count	2
P17	'country'@en	Q619610	'social state'@en	count	2
P17	'country'@en	Q7270	'republic'@en	count	2
P180	'depicts'@en	Q16521	'taxon'@en	count	2
P180	'depicts'@en	Q5119	'capital'@en	count	2
P180	'depicts'@en	Q56876983	'symbol'@en	count	2
P2303	'exception to constraint'@en	Q7860962	'road type'@en	count	2
P2348	'time period'@en	Q11514315	'historical period'@en	count	2
P2614	'World Heritage criteria'@en	Q22809610	'selection criterion for World Heritage'@en	count	2
P276	'location'@en	Q1637706	'million city'@en	count	2
P276	'location'@en	Q188734	'sinkhole'@en	count	2
P276	'location'@en	Q2221906	'geographic location'@en	count	2
P276	'location'@en	Q3957	'town'@en	count	2
P276	'location'@en	Q42744322	'urban municipality of Germany'@en	count	2
P282	'writing system'@en	Q108102018	'romanisation system'@en	count	2
P282	'writing system'@en	Q185087	'abjad'@en	count	2
P282	'writing system'@en	Q2182919	'alphabetic writing system'@en	count	2
P282	'writing system'@en	Q335806	'abugida'@en	count	2
P282	'writing system'@en	Q43091	'orthography'@en	count	2
P2868	'subject has role'@en	Q13473501	'collective'@en	count	2
P2868	'subject has role'@en	Q3624078	'sovereign state'@en	count	2
P3005	'valid in place'@en	Q1048835	'political territorial entity'@en	count	2
P3005	'valid in place'@en	Q15239622	'disputed territory'@en	count	2
P3005	'valid in place'@en	Q15974307	'Einheitsgemeinde of Germany'@en	count	2
P3005	'valid in place'@en	Q200250	'metropolis'@en	count	2
P3005	'valid in place'@en	Q3502482	'cultural region'@en	count	2
P3005	'valid in place'@en	Q3624078	'sovereign state'@en	count	2
P3005	'valid in place'@en	Q42744322	'urban municipality of Germany'@en	count	2
P3005	'valid in place'@en	Q51576574	'Mediterranean country'@en	count	2
P3005	'valid in place'@en	Q6256	'country'@en	count	2
P3005	'valid in place'@en	Q707813	'Hanseatic city'@en	count	2
P3005	'valid in place'@en	Q7270	'republic'@en	count	2
P31	'instance of'@en	Q10864048	'first-level administrative country subdivision'@en	count	2
P31	'instance of'@en	Q3024240	'historical country'@en	count	2
P364	'original language of film or TV show'@en	Q1288568	'modern language'@en	count	2
P364	'original language of film or TV show'@en	Q34770	'language'@en	count	2
P366	'has use'@en	Q104083	'grammatical number'@en	count	2
P366	'has use'@en	Q12015335	'branch of engineering'@en	count	2
P366	'has use'@en	Q268592	'industry'@en	count	2
P366	'has use'@en	Q4167410	'Wikimedia disambiguation page'@en	count	2
P3680	'statement supported by'@en	Q112099	'island nation'@en	count	2
P3680	'statement supported by'@en	Q128093	'e-book'@en	count	2
P3680	'statement supported by'@en	Q5255892	'democratic republic'@en	count	2
P3680	'statement supported by'@en	Q7725634	'literary work'@en	count	2
P3823	'Ethnologue language status'@en	Q29051545	'Ethnologue language status'@en	count	2
P3831	'object has role'@en	Q104637420	'sourcing circumstance'@en	count	2
P3831	'object has role'@en	Q188451	'music genre'@en	count	2
P3831	'object has role'@en	Q294414	'public office'@en	count	2
P3831	'object has role'@en	Q41487	'court'@en	count	2
P3831	'object has role'@en	Q82042	'part of speech'@en	count	2
P3831	'object has role'@en	Q828803	'job title'@en	count	2
P3831	'object has role'@en	Q96116695	'type of system'@en	count	2
P39	'position held'@en	Q16874643	'legal term'@en	count	2
P407	'language of work or name'@en	Q1514741	'set'@en	count	2
P407	'language of work or name'@en	Q191328	'tonal language'@en	count	2
P407	'language of work or name'@en	Q2001982	'notation'@en	count	2
P407	'language of work or name'@en	Q2315359	'historical language'@en	count	2
P407	'language of work or name'@en	Q4085712	'unwritten language'@en	count	2
P407	'language of work or name'@en	Q436240	'ancient language'@en	count	2
P407	'language of work or name'@en	Q8192	'writing system'@en	count	2
P4070	'identifier shared with'@en	Q3624078	'sovereign state'@en	count	2
P457	'foundational text'@en	Q625298	'peace treaty'@en	count	2
P459	'determination method'@en	Q1076105	'general election'@en	count	2
P459	'determination method'@en	Q10871947	'National Population Census of the People\'s Republic of China'@en	count	2
P459	'determination method'@en	Q24934691	'census in Malaysia'@en	count	2
P459	'determination method'@en	Q2725376	'demographics'@en	count	2
P459	'determination method'@en	Q327333	'government agency'@en	count	2
P459	'determination method'@en	Q480242	'statistical service'@en	count	2
P459	'determination method'@en	Q76853179	'group of elections'@en	count	2
P463	'member of'@en	Q772547	'armed forces'@en	count	2
P4649	'identity of subject in context'@en	Q11514315	'historical period'@en	count	2
P4649	'identity of subject in context'@en	Q1323642	'transcontinental country'@en	count	2
P4649	'identity of subject in context'@en	Q13417114	'noble family'@en	count	2
P4649	'identity of subject in context'@en	Q15634554	'state with limited recognition'@en	count	2
P4649	'identity of subject in context'@en	Q5589178	'regime'@en	count	2
P4649	'identity of subject in context'@en	Q6256	'country'@en	count	2
P4649	'identity of subject in context'@en	Q788176	'autonomous administrative territorial entity'@en	count	2
P4649	'identity of subject in context'@en	Q859563	'secular state'@en	count	2
P488	'chairperson'@en	Q5	'human'@en	count	2
P4900	'broader concept'@en	Q164950	'dynasty'@en	count	2
P50	'author'@en	Q480242	'statistical service'@en	count	2
P518	'applies to part'@en	Q101072	'definition'@en	count	2
P518	'applies to part'@en	Q104093226	'class that shouldn\'t be used as class'@en	count	2
P518	'applies to part'@en	Q104880945	'climate emergency declarations in Australia'@en	count	2
P518	'applies to part'@en	Q106589826	'Finnish National Land Survey place type'@en	count	2
P518	'applies to part'@en	Q106658	'district of Germany'@en	count	2
P518	'applies to part'@en	Q110315658	'elected legislative house'@en	count	2
P518	'applies to part'@en	Q11292	'coral reef'@en	count	2
P518	'applies to part'@en	Q11514315	'historical period'@en	count	2
P518	'applies to part'@en	Q1207505	'quality'@en	count	2
P518	'applies to part'@en	Q1323642	'transcontinental country'@en	count	2
P518	'applies to part'@en	Q133442	'city-state'@en	count	2
P518	'applies to part'@en	Q1371288	'vassal state'@en	count	2
P518	'applies to part'@en	Q1375749	'European City'@en	count	2
P518	'applies to part'@en	Q151885	'concept'@en	count	2
P518	'applies to part'@en	Q15643578	'county of New South Wales'@en	count	2
P518	'applies to part'@en	Q158454	'biosphere reserve'@en	count	2
P518	'applies to part'@en	Q164142	'protectorate'@en	count	2
P518	'applies to part'@en	Q164950	'dynasty'@en	count	2
P518	'applies to part'@en	Q17259945	'province of the Spanish Empire'@en	count	2
P518	'applies to part'@en	Q17279032	'elective office'@en	count	2
P518	'applies to part'@en	Q1756157	'area of law'@en	count	2
P518	'applies to part'@en	Q183039	'form of state'@en	count	2
P518	'applies to part'@en	Q183366	'territory'@en	count	2
P518	'applies to part'@en	Q192287	'subdivisions of Russia'@en	count	2
P518	'applies to part'@en	Q19953632	'former administrative territorial entity'@en	count	2
P518	'applies to part'@en	Q22670030	'former French region'@en	count	2
P518	'applies to part'@en	Q25894868	'place type'@en	count	2
P518	'applies to part'@en	Q261543	'state of Austria'@en	count	2
P518	'applies to part'@en	Q26807495	'district of the French Southern and Antarctic Lands'@en	count	2
P518	'applies to part'@en	Q27495502	'federal district of Brazil'@en	count	2
P518	'applies to part'@en	Q28575	'county'@en	count	2
P518	'applies to part'@en	Q294414	'public office'@en	count	2
P518	'applies to part'@en	Q29933858	'territorial claim'@en	count	2
P518	'applies to part'@en	Q3268848	'non-SI unit mentioned in and accepted with the SI'@en	count	2
P518	'applies to part'@en	Q33104279	'philosophical concept'@en	count	2
P518	'applies to part'@en	Q3455524	'administrative region'@en	count	2
P518	'applies to part'@en	Q353344	'countship'@en	count	2
P518	'applies to part'@en	Q395994	'capital district or territory'@en	count	2
P518	'applies to part'@en	Q41792036	'oversea province of Spain'@en	count	2
P518	'applies to part'@en	Q43263	'federal subject of Russia'@en	count	2
P518	'applies to part'@en	Q4389115	'district of Tajikistan'@en	count	2
P518	'applies to part'@en	Q4442912	'capital of Russia'@en	count	2
P518	'applies to part'@en	Q473972	'protected area'@en	count	2
P518	'applies to part'@en	Q47488809	'country for sports'@en	count	2
P518	'applies to part'@en	Q486972	'human settlement'@en	count	2
P518	'applies to part'@en	Q5164076	'constituent state'@en	count	2
P518	'applies to part'@en	Q518261	'cultural area'@en	count	2
P518	'applies to part'@en	Q7631083	'administrative territorial entity of Uzbekistan'@en	count	2
P518	'applies to part'@en	Q772547	'armed forces'@en	count	2
P518	'applies to part'@en	Q782614	'autonomous region'@en	count	2
P518	'applies to part'@en	Q828803	'job title'@en	count	2
P518	'applies to part'@en	Q900119	'United Nations list of Non-Self-Governing Territories'@en	count	2
P518	'applies to part'@en	Q9357527	'territory of Canada'@en	count	2
P5237	'pronunciation variety'@en	Q33384	'dialect'@en	count	2
P527	'has part or parts'@en	Q11348	'function'@en	count	2
P527	'has part or parts'@en	Q1710033	'autonomous region with special statute'@en	count	2
P527	'has part or parts'@en	Q294414	'public office'@en	count	2
P527	'has part or parts'@en	Q3091606	'Supreme Soviet'@en	count	2
P531	'diplomatic mission sent'@en	Q1802963	'mansion'@en	count	2
P531	'diplomatic mission sent'@en	Q19600600	'British High Commission'@en	count	2
P531	'diplomatic mission sent'@en	Q213283	'diplomatic mission'@en	count	2
P531	'diplomatic mission sent'@en	Q2360219	'permanent mission'@en	count	2
P531	'diplomatic mission sent'@en	Q2750585	'chancery'@en	count	2
P531	'diplomatic mission sent'@en	Q4164871	'position'@en	count	2
P642	'of'@en	Q1088391	'rump state'@en	count	2
P642	'of'@en	Q1156073	'royal house'@en	count	2
P642	'of'@en	Q11939023	'núcleo de población'@en	count	2
P642	'of'@en	Q1211369	'the empire on which the sun never sets'@en	count	2
P642	'of'@en	Q12857432	'Chinese dynasty'@en	count	2
P642	'of'@en	Q133156	'colony'@en	count	2
P642	'of'@en	Q1520223	'constitutional republic'@en	count	2
P642	'of'@en	Q15303838	'municipality seat'@en	count	2
P642	'of'@en	Q15634554	'state with limited recognition'@en	count	2
P642	'of'@en	Q162378	'grammatical gender'@en	count	2
P642	'of'@en	Q164950	'dynasty'@en	count	2
P642	'of'@en	Q1790360	'colonial empire'@en	count	2
P642	'of'@en	Q187587	'empire'@en	count	2
P642	'of'@en	Q2324993	'state power'@en	count	2
P642	'of'@en	Q34876	'province'@en	count	2
P642	'of'@en	Q41614	'constitutional monarchy'@en	count	2
P642	'of'@en	Q4164871	'position'@en	count	2
P642	'of'@en	Q42045197	'hereditary position'@en	count	2
P642	'of'@en	Q4209223	'Rechtsstaat'@en	count	2
P642	'of'@en	Q4389937	'early feudal monarchy'@en	count	2
P642	'of'@en	Q5589178	'regime'@en	count	2
P642	'of'@en	Q617347	'stem duchy'@en	count	2
P642	'of'@en	Q7210356	'political organization'@en	count	2
P642	'of'@en	Q7278	'political party'@en	count	2
P642	'of'@en	Q859563	'secular state'@en	count	2
P706	'located in/on physical feature'@en	Q1350181	'shire of Scotland'@en	count	2
P706	'located in/on physical feature'@en	Q15060255	'Scottish council area'@en	count	2
P706	'located in/on physical feature'@en	Q1637706	'million city'@en	count	2
P706	'located in/on physical feature'@en	Q202435	'lieutenancy area of Scotland'@en	count	2
P706	'located in/on physical feature'@en	Q532	'village'@en	count	2
P706	'located in/on physical feature'@en	Q56061	'administrative territorial entity'@en	count	2
P706	'located in/on physical feature'@en	Q6083725	'Scottish islands area'@en	count	2
