id	node1	node1;label	label	label;label	node2	node2;label	node2;wikidatatype	id	node1	node1;label	label	label;label	node2	node2;label	node2;wikidatatype	id	node1	node1;label	label	label;label	node2	node2;label	node2;wikidatatype	id	node1	node1;label	label	label;label	node2	node2;label	node2;wikidatatype
Q155-P35-Q230578-cbb0f2ec-0	Q155	'Brazil'@en	P35	'head of state'@en	Q230578	'Fernando Henrique Cardoso'@en	wikibase-item	Q155-P1906-Q5176750-487a82b1-0	Q155	'Brazil'@en	P1906	'office held by head of state'@en	Q5176750	'President of Brazil'@en	wikibase-item	Q155-P35-Q230578-cbb0f2ec-0-P580-bbd26e-0	Q155-P35-Q230578-cbb0f2ec-0		P580	'start time'@en	^1995-01-01T00:00:00Z/11		time								
Q155-P35-Q230578-cbb0f2ec-0	Q155	'Brazil'@en	P35	'head of state'@en	Q230578	'Fernando Henrique Cardoso'@en	wikibase-item	Q155-P1906-Q5176750-487a82b1-0	Q155	'Brazil'@en	P1906	'office held by head of state'@en	Q5176750	'President of Brazil'@en	wikibase-item	Q155-P35-Q230578-cbb0f2ec-0-P582-7f5a51-0	Q155-P35-Q230578-cbb0f2ec-0		P582	'end time'@en	^2002-12-31T00:00:00Z/11		time								
Q155-P35-Q485946-0e2d65bf-0	Q155	'Brazil'@en	P35	'head of state'@en	Q485946	'Itamar Franco'@en	wikibase-item	Q155-P1906-Q5176750-487a82b1-0	Q155	'Brazil'@en	P1906	'office held by head of state'@en	Q5176750	'President of Brazil'@en	wikibase-item	Q155-P35-Q485946-0e2d65bf-0-P39-Q5176750-0	Q155-P35-Q485946-0e2d65bf-0		P39	'position held'@en	Q5176750	'President of Brazil'@en	wikibase-item								
Q155-P35-Q485946-0e2d65bf-0	Q155	'Brazil'@en	P35	'head of state'@en	Q485946	'Itamar Franco'@en	wikibase-item	Q155-P1906-Q5176750-487a82b1-0	Q155	'Brazil'@en	P1906	'office held by head of state'@en	Q5176750	'President of Brazil'@en	wikibase-item	Q155-P35-Q485946-0e2d65bf-0-P459-Q3722531-0	Q155-P35-Q485946-0e2d65bf-0		P459	'determination method'@en	Q3722531	'1989 Brazilian presidential election'@en	wikibase-item								
Q155-P35-Q485946-0e2d65bf-0	Q155	'Brazil'@en	P35	'head of state'@en	Q485946	'Itamar Franco'@en	wikibase-item	Q155-P1906-Q5176750-487a82b1-0	Q155	'Brazil'@en	P1906	'office held by head of state'@en	Q5176750	'President of Brazil'@en	wikibase-item	Q155-P35-Q485946-0e2d65bf-0-P580-6188ed-0	Q155-P35-Q485946-0e2d65bf-0		P580	'start time'@en	^1992-12-29T00:00:00Z/11		time								
Q155-P35-Q485946-0e2d65bf-0	Q155	'Brazil'@en	P35	'head of state'@en	Q485946	'Itamar Franco'@en	wikibase-item	Q155-P1906-Q5176750-487a82b1-0	Q155	'Brazil'@en	P1906	'office held by head of state'@en	Q5176750	'President of Brazil'@en	wikibase-item	Q155-P35-Q485946-0e2d65bf-0-P582-352287-0	Q155-P35-Q485946-0e2d65bf-0		P582	'end time'@en	^1994-12-31T00:00:00Z/11		time								
Q155-P35-Q10304982-20d3e965-0	Q155	'Brazil'@en	P35	'head of state'@en	Q10304982	'Jair Bolsonaro'@en	wikibase-item	Q155-P1906-Q5176750-487a82b1-0	Q155	'Brazil'@en	P1906	'office held by head of state'@en	Q5176750	'President of Brazil'@en	wikibase-item	Q155-P35-Q10304982-20d3e965-0-P39-Q5176750-0	Q155-P35-Q10304982-20d3e965-0		P39	'position held'@en	Q5176750	'President of Brazil'@en	wikibase-item								
Q155-P35-Q10304982-20d3e965-0	Q155	'Brazil'@en	P35	'head of state'@en	Q10304982	'Jair Bolsonaro'@en	wikibase-item	Q155-P1906-Q5176750-487a82b1-0	Q155	'Brazil'@en	P1906	'office held by head of state'@en	Q5176750	'President of Brazil'@en	wikibase-item	Q155-P35-Q10304982-20d3e965-0-P459-Q30753034-0	Q155-P35-Q10304982-20d3e965-0		P459	'determination method'@en	Q30753034	'Brazilian presidential election, 2018'@en	wikibase-item								
Q155-P35-Q10304982-20d3e965-0	Q155	'Brazil'@en	P35	'head of state'@en	Q10304982	'Jair Bolsonaro'@en	wikibase-item	Q155-P1906-Q5176750-487a82b1-0	Q155	'Brazil'@en	P1906	'office held by head of state'@en	Q5176750	'President of Brazil'@en	wikibase-item	Q155-P35-Q10304982-20d3e965-0-P580-062eaa-0	Q155-P35-Q10304982-20d3e965-0		P580	'start time'@en	^2019-01-01T00:00:00Z/11		time								
Q155-P35-Q37181-f6e1088b-0	Q155	'Brazil'@en	P35	'head of state'@en	Q37181	'Luiz Inácio Lula da Silva'@en	wikibase-item	Q155-P1906-Q5176750-487a82b1-0	Q155	'Brazil'@en	P1906	'office held by head of state'@en	Q5176750	'President of Brazil'@en	wikibase-item	Q155-P35-Q37181-f6e1088b-0-P39-Q5176750-0	Q155-P35-Q37181-f6e1088b-0		P39	'position held'@en	Q5176750	'President of Brazil'@en	wikibase-item								
Q155-P35-Q37181-f6e1088b-0	Q155	'Brazil'@en	P35	'head of state'@en	Q37181	'Luiz Inácio Lula da Silva'@en	wikibase-item	Q155-P1906-Q5176750-487a82b1-0	Q155	'Brazil'@en	P1906	'office held by head of state'@en	Q5176750	'President of Brazil'@en	wikibase-item	Q155-P35-Q37181-f6e1088b-0-P459-Q3722534-0	Q155-P35-Q37181-f6e1088b-0		P459	'determination method'@en	Q3722534	'2002 Brazilian general election'@en	wikibase-item								
Q155-P35-Q37181-f6e1088b-0	Q155	'Brazil'@en	P35	'head of state'@en	Q37181	'Luiz Inácio Lula da Silva'@en	wikibase-item	Q155-P1906-Q5176750-487a82b1-0	Q155	'Brazil'@en	P1906	'office held by head of state'@en	Q5176750	'President of Brazil'@en	wikibase-item	Q155-P35-Q37181-f6e1088b-0-P459-Q2164948-0	Q155-P35-Q37181-f6e1088b-0		P459	'determination method'@en	Q2164948	'2006 Brazilian general election'@en	wikibase-item								
Q155-P35-Q37181-f6e1088b-0	Q155	'Brazil'@en	P35	'head of state'@en	Q37181	'Luiz Inácio Lula da Silva'@en	wikibase-item	Q155-P1906-Q5176750-487a82b1-0	Q155	'Brazil'@en	P1906	'office held by head of state'@en	Q5176750	'President of Brazil'@en	wikibase-item	Q155-P35-Q37181-f6e1088b-0-P580-ab09ed-0	Q155-P35-Q37181-f6e1088b-0		P580	'start time'@en	^2003-01-01T00:00:00Z/11		time								
Q155-P35-Q37181-f6e1088b-0	Q155	'Brazil'@en	P35	'head of state'@en	Q37181	'Luiz Inácio Lula da Silva'@en	wikibase-item	Q155-P1906-Q5176750-487a82b1-0	Q155	'Brazil'@en	P1906	'office held by head of state'@en	Q5176750	'President of Brazil'@en	wikibase-item	Q155-P35-Q37181-f6e1088b-0-P582-68386d-0	Q155-P35-Q37181-f6e1088b-0		P582	'end time'@en	^2010-12-31T00:00:00Z/11		time								
Q155-P35-Q463533-cd253216-0	Q155	'Brazil'@en	P35	'head of state'@en	Q463533	'Michel Temer'@en	wikibase-item	Q155-P1906-Q5176750-487a82b1-0	Q155	'Brazil'@en	P1906	'office held by head of state'@en	Q5176750	'President of Brazil'@en	wikibase-item	Q155-P35-Q463533-cd253216-0-P39-Q5176750-0	Q155-P35-Q463533-cd253216-0		P39	'position held'@en	Q5176750	'President of Brazil'@en	wikibase-item								
Q155-P35-Q463533-cd253216-0	Q155	'Brazil'@en	P35	'head of state'@en	Q463533	'Michel Temer'@en	wikibase-item	Q155-P1906-Q5176750-487a82b1-0	Q155	'Brazil'@en	P1906	'office held by head of state'@en	Q5176750	'President of Brazil'@en	wikibase-item	Q155-P35-Q463533-cd253216-0-P459-Q23712863-0	Q155-P35-Q463533-cd253216-0		P459	'determination method'@en	Q23712863	'Impeachment process against Dilma Rousseff'@en	wikibase-item								
Q155-P35-Q463533-cd253216-0	Q155	'Brazil'@en	P35	'head of state'@en	Q463533	'Michel Temer'@en	wikibase-item	Q155-P1906-Q5176750-487a82b1-0	Q155	'Brazil'@en	P1906	'office held by head of state'@en	Q5176750	'President of Brazil'@en	wikibase-item	Q155-P35-Q463533-cd253216-0-P580-fe7de0-0	Q155-P35-Q463533-cd253216-0		P580	'start time'@en	^2016-08-31T00:00:00Z/11		time								
Q155-P35-Q463533-cd253216-0	Q155	'Brazil'@en	P35	'head of state'@en	Q463533	'Michel Temer'@en	wikibase-item	Q155-P1906-Q5176750-487a82b1-0	Q155	'Brazil'@en	P1906	'office held by head of state'@en	Q5176750	'President of Brazil'@en	wikibase-item	Q155-P35-Q463533-cd253216-0-P582-062eaa-0	Q155-P35-Q463533-cd253216-0		P582	'end time'@en	^2019-01-01T00:00:00Z/11		time								
