node1	label	node2
Q668	reachable	Q2128715
Q668	reachable	Q2128743
Q668	reachable	Q2221701
Q668	reachable	Q2276431
Q668	reachable	Q2290502
Q668	reachable	Q23136942
Q668	reachable	Q2368545
Q668	reachable	Q24948695
Q668	reachable	Q2548416
Q668	reachable	Q25565204
Q668	reachable	Q2571484
Q668	reachable	Q2623902
Q668	reachable	Q2624304
Q668	reachable	Q266923
Q668	reachable	Q28179897
Q668	reachable	Q2869051
Q668	reachable	Q2871819
Q668	reachable	Q2879034
Q668	reachable	Q2883798
Q668	reachable	Q2884562
Q668	reachable	Q2902467
Q668	reachable	Q2963204
Q668	reachable	Q3016348
Q668	reachable	Q3025560
Q668	reachable	Q3025563
Q668	reachable	Q3025690
Q668	reachable	Q30596137
Q668	reachable	Q30681363
Q668	reachable	Q3192661
Q668	reachable	Q3195357
Q668	reachable	Q3200690
Q668	reachable	Q3241025
Q668	reachable	Q3258086
Q668	reachable	Q3315863
Q668	reachable	Q3428760
Q668	reachable	Q3454186
Q668	reachable	Q3488924
Q668	reachable	Q3503368
Q668	reachable	Q3530610
Q668	reachable	Q3535371
Q668	reachable	Q3963975
Q668	reachable	Q4726842
Q668	reachable	Q4726858
Q668	reachable	Q4837532
Q668	reachable	Q4857117
Q668	reachable	Q48838925
Q668	reachable	Q4901996
Q668	reachable	Q4997536
Q668	reachable	Q509572
Q668	reachable	Q5105376
Q668	reachable	Q520403
Q668	reachable	Q5269129
Q668	reachable	Q5301066
Q668	reachable	Q532048
Q668	reachable	Q5623265
Q668	reachable	Q5915498
Q668	reachable	Q6124144
Q668	reachable	Q6164350
Q668	reachable	Q6206774
Q668	reachable	Q6207845
Q668	reachable	Q6368814
Q668	reachable	Q6401617
Q668	reachable	Q6416549
Q668	reachable	Q642037
Q668	reachable	Q6447564
Q668	reachable	Q6448442
Q668	reachable	Q649310
Q668	reachable	Q6503547
Q668	reachable	Q65063637
Q668	reachable	Q657861
Q668	reachable	Q657946
Q668	reachable	Q668415
Q668	reachable	Q6728533
Q668	reachable	Q6733256
Q668	reachable	Q6747689
Q668	reachable	Q6748050
Q668	reachable	Q7037080
Q668	reachable	Q7126114
Q668	reachable	Q7126720
Q668	reachable	Q7127047
Q668	reachable	Q7127625
Q668	reachable	Q716890
Q668	reachable	Q7180358
Q668	reachable	Q7197455
Q668	reachable	Q7286362
Q668	reachable	Q7403120
Q668	reachable	Q7422962
Q668	reachable	Q7423761
Q668	reachable	Q7530545
Q668	reachable	Q7825423
Q668	reachable	Q7905915
Q668	reachable	Q7920068
Q668	reachable	Q7938018
Q668	reachable	Q806019
Q668	reachable	Q806963
Q668	reachable	Q807069
Q668	reachable	Q807288
Q668	reachable	Q808575
Q668	reachable	Q809652
Q668	reachable	Q809955
Q668	reachable	Q810432
Q668	reachable	Q810557
Q668	reachable	Q854850
Q668	reachable	Q854917
Q668	reachable	Q855044
Q668	reachable	Q855058
Q668	reachable	Q85774522
Q668	reachable	Q859966
Q668	reachable	Q860407
Q668	reachable	Q889030
Q668	reachable	Q892061
Q668	reachable	Q894995
Q668	reachable	Q914031
Q668	reachable	Q917553
Q668	reachable	Q918204
Q668	reachable	Q918500
Q668	reachable	Q922317
Q668	reachable	Q929357
Q668	reachable	Q932359
Q668	reachable	Q932370
Q668	reachable	Q932393
Q668	reachable	Q932487
Q668	reachable	Q933413
Q668	reachable	Q973433
Q668	reachable	Q976913
Q668	reachable	Q999297
Q668	reachable	Q11913682
Q668	reachable	Q877155
Q668	reachable	Q3532158
Q668	reachable	Q5071012
Q668	reachable	Q778510
Q668	reachable	Q33296
Q668	reachable	Q18211496
Q668	reachable	Q5088561
Q668	reachable	Q58399542
Q668	reachable	Q2578028
Q668	reachable	Q129286
Q668	reachable	Q5057037
Q668	reachable	Q167639
Q668	reachable	Q1588434
Q668	reachable	Q1053874
Q668	reachable	Q111016259
Q668	reachable	Q83618
Q668	reachable	Q11916481
Q668	reachable	Q3446126
Q668	reachable	Q5324
Q668	reachable	Q12418527
Q668	reachable	Q1335260
Q668	reachable	Q2001966
Q668	reachable	Q6427080
Q668	reachable	Q2086556
Q668	reachable	Q466581
Q668	reachable	Q5102103
Q668	reachable	Q42376540
Q668	reachable	Q6156427
Q668	reachable	Q6745142
Q668	reachable	Q85845325
Q668	reachable	Q85845333
Q668	reachable	Q97355109
Q668	reachable	Q11774
Q668	reachable	Q20732380
Q668	reachable	Q2122988
Q668	reachable	Q4478340
Q668	reachable	Q14624218
Q668	reachable	Q17150787
Q668	reachable	Q25979
Q668	reachable	Q6733051
Q668	reachable	Q784974
Q668	reachable	Q5253825
Q668	reachable	Q856691
Q668	reachable	Q651377
Q668	reachable	Q1395011
Q668	reachable	Q62943
Q668	reachable	Q846025
Q668	reachable	Q949268
Q668	reachable	Q1039325
Q668	reachable	Q234009
Q668	reachable	Q972165
Q668	reachable	Q12459974
Q668	reachable	Q5620921
Q668	reachable	Q3765113
Q101511100	reachable	Q199383
Q12490507	reachable	Q1018744
Q12490507	reachable	Q11939617
Q12490507	reachable	Q15649525
Q12490507	reachable	Q15649606
Q12490507	reachable	Q21081650
Q12490507	reachable	Q24089916
Q12490507	reachable	Q25212605
Q12490507	reachable	Q3060427
Q12490507	reachable	Q3627700
Q12490507	reachable	Q3633213
Q12490507	reachable	Q3843570
Q12490507	reachable	Q3945171
Q12490507	reachable	Q765845
Q12490507	reachable	Q1986139
Q12490507	reachable	Q40169
Q12490507	reachable	Q93180
Q102046616	reachable	Q48728257
Q34266	reachable	Q1025796
Q34266	reachable	Q1473221
Q34266	reachable	Q1546773
Q34266	reachable	Q1760473
Q34266	reachable	Q21076366
Q34266	reachable	Q211371
Q34266	reachable	Q2347977
Q34266	reachable	Q2347987
Q34266	reachable	Q2347999
Q34266	reachable	Q2454841
Q34266	reachable	Q2464958
Q34266	reachable	Q2640598
Q34266	reachable	Q2991196
Q34266	reachable	Q550403
Q34266	reachable	Q782119
Q34266	reachable	Q98853318
Q34266	reachable	Q1069959
Q34266	reachable	Q2662372
Q34266	reachable	Q47516713
Q504759	reachable	Q1025803
Q504759	reachable	Q1056772
Q504759	reachable	Q1069690
Q504759	reachable	Q1207032
Q504759	reachable	Q2208130
Q504759	reachable	Q5364563
Q504759	reachable	Q736936
Q504759	reachable	Q8003894
Q504759	reachable	Q15917061
Q504759	reachable	Q11153551
Q504759	reachable	Q11120039
Q504759	reachable	Q17026804
Q187035	reachable	Q1028133
Q187035	reachable	Q1989935
Q187035	reachable	Q582781
Q187035	reachable	Q7418359
Q187035	reachable	Q7418361
Q187035	reachable	Q7418363
Q187035	reachable	Q7418366
Q187035	reachable	Q7418374
Q187035	reachable	Q653394
Q187035	reachable	Q2121602
Q187035	reachable	Q7418360
Q187035	reachable	Q5566041
Q30744169	reachable	Q1028835
Q30744169	reachable	Q1028848
Q30744169	reachable	Q668294
Q1028835	reachable	Q668294
Q1028848	reachable	Q668294
Q16000109	reachable	Q10359001
Q16000109	reachable	Q1123749
Q10359001	reachable	Q1123749
Q846025	reachable	Q1039325
Q2006542	reachable	Q104152114
Q2006542	reachable	Q11317232
Q2006542	reachable	Q129286
Q2006542	reachable	Q139948
Q2006542	reachable	Q14957246
Q2006542	reachable	Q1806438
Q2006542	reachable	Q28172756
Q2006542	reachable	Q2841472
Q2006542	reachable	Q2989469
Q2006542	reachable	Q2989491
Q2006542	reachable	Q3243592
Q2006542	reachable	Q3246260
Q2006542	reachable	Q3246273
Q2006542	reachable	Q3249587
Q2006542	reachable	Q372426
Q2006542	reachable	Q7260195
Q2006542	reachable	Q800236
Q2006542	reachable	Q1335260
Q2006542	reachable	Q1678787
Q2006542	reachable	Q2001966
Q2006542	reachable	Q6427080
Q2006542	reachable	Q2122988
Q2006542	reachable	Q4478340
Q2006542	reachable	Q877155
Q2006542	reachable	Q5253825
Q10416611	reachable	Q1234394
Q10416611	reachable	Q181238
Q10416611	reachable	Q281345
Q697	reachable	Q104177870
Q697	reachable	Q104177909
Q104177870	reachable	Q104177909
Q104178033	reachable	Q104178238
Q238445	reachable	Q104178315
Q580188	reachable	Q1042069
Q1014	reachable	Q104830524
Q1014	reachable	Q544630
Q1448131	reachable	Q1048340
Q1448131	reachable	Q1923781
Q1448131	reachable	Q187035
Q1448131	reachable	Q1028133
Q1448131	reachable	Q1989935
Q1448131	reachable	Q582781
Q1448131	reachable	Q7418359
Q1448131	reachable	Q7418361
Q1448131	reachable	Q7418363
Q1448131	reachable	Q7418366
Q1448131	reachable	Q7418374
Q1448131	reachable	Q653394
Q1448131	reachable	Q2121602
Q1448131	reachable	Q7418360
Q1448131	reachable	Q5566041
Q1048340	reachable	Q1923781
Q1048340	reachable	Q187035
Q1048340	reachable	Q1028133
Q1048340	reachable	Q1989935
Q1048340	reachable	Q582781
Q1048340	reachable	Q7418359
Q1048340	reachable	Q7418361
Q1048340	reachable	Q7418363
Q1048340	reachable	Q7418366
Q1048340	reachable	Q7418374
Q1048340	reachable	Q653394
Q1048340	reachable	Q2121602
Q1048340	reachable	Q7418360
Q1048340	reachable	Q5566041
Q2940142	reachable	Q1048918
Q2940142	reachable	Q5919137
