id	node1	node1;label	label	label;label	node2	node2;label
Q160307-P1365-Q12536-52103813-0	Q160307	'Fatimid Caliphate'@en	P1365	'replaces'@en	Q12536	'Abbasid Caliphate'@en
Q160307-P1365-Q12536-52103813-0-P585	Q160307-P1365-Q12536-52103813-0		P585	'point in time'@en	unknown	
Q160307-P1365-Q12536-52103813-0-P585-ckgT1	Q160307-P1365-Q12536-52103813-0-P585		ckgr9	ckg:Context Type	ckgT1	Temporal
Q160307-P1365-Q12536-52103813-0	Q160307	'Fatimid Caliphate'@en	P1365	'replaces'@en	Q12536	'Abbasid Caliphate'@en
Q160307-P1365-Q12536-52103813-0-P828	Q160307-P1365-Q12536-52103813-0		P828	'has cause'@en	unknown	
Q160307-P1365-Q12536-52103813-0-P828-ckgP1	Q160307-P1365-Q12536-52103813-0-P828		ckgr9	ckg:Context Type	ckgP1	Provenance
Q1250763-P1365-Q160307-595ec7e0-0	Q1250763	'Emirate of Sicily'@en	P1365	'replaces'@en	Q160307	'Fatimid Caliphate'@en
Q1250763-P1365-Q160307-595ec7e0-0-P580	Q1250763-P1365-Q160307-595ec7e0-0		P580	'start time'@en	unknown	
Q1250763-P1365-Q160307-595ec7e0-0-P580-ckgT1	Q1250763-P1365-Q160307-595ec7e0-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
Q1250763-P1365-Q160307-595ec7e0-0	Q1250763	'Emirate of Sicily'@en	P1365	'replaces'@en	Q160307	'Fatimid Caliphate'@en
Q1250763-P1365-Q160307-595ec7e0-0-P585	Q1250763-P1365-Q160307-595ec7e0-0		P585	'point in time'@en	unknown	
Q1250763-P1365-Q160307-595ec7e0-0-P585-ckgT1	Q1250763-P1365-Q160307-595ec7e0-0-P585		ckgr9	ckg:Context Type	ckgT1	Temporal
Q1250763-P1365-Q160307-595ec7e0-0	Q1250763	'Emirate of Sicily'@en	P1365	'replaces'@en	Q160307	'Fatimid Caliphate'@en
Q1250763-P1365-Q160307-595ec7e0-0-P828	Q1250763-P1365-Q160307-595ec7e0-0		P828	'has cause'@en	unknown	
Q1250763-P1365-Q160307-595ec7e0-0-P828-ckgP1	Q1250763-P1365-Q160307-595ec7e0-0-P828		ckgr9	ckg:Context Type	ckgP1	Provenance
Q180114-P1365-Q160307-f361fbbb-0	Q180114	'Ayyubid dynasty'@en	P1365	'replaces'@en	Q160307	'Fatimid Caliphate'@en
Q180114-P1365-Q160307-f361fbbb-0-P580	Q180114-P1365-Q160307-f361fbbb-0		P580	'start time'@en	unknown	
Q180114-P1365-Q160307-f361fbbb-0-P580-ckgT1	Q180114-P1365-Q160307-f361fbbb-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
Q180114-P1365-Q160307-f361fbbb-0	Q180114	'Ayyubid dynasty'@en	P1365	'replaces'@en	Q160307	'Fatimid Caliphate'@en
Q180114-P1365-Q160307-f361fbbb-0-P585	Q180114-P1365-Q160307-f361fbbb-0		P585	'point in time'@en	unknown	
Q180114-P1365-Q160307-f361fbbb-0-P585-ckgT1	Q180114-P1365-Q160307-f361fbbb-0-P585		ckgr9	ckg:Context Type	ckgT1	Temporal
Q180114-P1365-Q160307-f361fbbb-0	Q180114	'Ayyubid dynasty'@en	P1365	'replaces'@en	Q160307	'Fatimid Caliphate'@en
Q180114-P1365-Q160307-f361fbbb-0-P828	Q180114-P1365-Q160307-f361fbbb-0		P828	'has cause'@en	unknown	
Q180114-P1365-Q160307-f361fbbb-0-P828-ckgP1	Q180114-P1365-Q160307-f361fbbb-0-P828		ckgr9	ckg:Context Type	ckgP1	Provenance
Q189545-P1365-Q160307-7f6ab3e0-0	Q189545	'Zengid dynasty'@en	P1365	'replaces'@en	Q160307	'Fatimid Caliphate'@en
Q189545-P1365-Q160307-7f6ab3e0-0-P580	Q189545-P1365-Q160307-7f6ab3e0-0		P580	'start time'@en	unknown	
Q189545-P1365-Q160307-7f6ab3e0-0-P580-ckgT1	Q189545-P1365-Q160307-7f6ab3e0-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
Q189545-P1365-Q160307-7f6ab3e0-0	Q189545	'Zengid dynasty'@en	P1365	'replaces'@en	Q160307	'Fatimid Caliphate'@en
Q189545-P1365-Q160307-7f6ab3e0-0-P585	Q189545-P1365-Q160307-7f6ab3e0-0		P585	'point in time'@en	unknown	
Q189545-P1365-Q160307-7f6ab3e0-0-P585-ckgT1	Q189545-P1365-Q160307-7f6ab3e0-0-P585		ckgr9	ckg:Context Type	ckgT1	Temporal
Q189545-P1365-Q160307-7f6ab3e0-0	Q189545	'Zengid dynasty'@en	P1365	'replaces'@en	Q160307	'Fatimid Caliphate'@en
Q189545-P1365-Q160307-7f6ab3e0-0-P828	Q189545-P1365-Q160307-7f6ab3e0-0		P828	'has cause'@en	unknown	
Q189545-P1365-Q160307-7f6ab3e0-0-P828-ckgP1	Q189545-P1365-Q160307-7f6ab3e0-0-P828		ckgr9	ckg:Context Type	ckgP1	Provenance
Q199688-P1365-Q160307-b1eb37ad-0	Q199688	'Almohad Caliphate'@en	P1365	'replaces'@en	Q160307	'Fatimid Caliphate'@en
Q199688-P1365-Q160307-b1eb37ad-0-P580	Q199688-P1365-Q160307-b1eb37ad-0		P580	'start time'@en	unknown	
Q199688-P1365-Q160307-b1eb37ad-0-P580-ckgT1	Q199688-P1365-Q160307-b1eb37ad-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
Q199688-P1365-Q160307-b1eb37ad-0	Q199688	'Almohad Caliphate'@en	P1365	'replaces'@en	Q160307	'Fatimid Caliphate'@en
Q199688-P1365-Q160307-b1eb37ad-0-P585	Q199688-P1365-Q160307-b1eb37ad-0		P585	'point in time'@en	unknown	
Q199688-P1365-Q160307-b1eb37ad-0-P585-ckgT1	Q199688-P1365-Q160307-b1eb37ad-0-P585		ckgr9	ckg:Context Type	ckgT1	Temporal
Q199688-P1365-Q160307-b1eb37ad-0	Q199688	'Almohad Caliphate'@en	P1365	'replaces'@en	Q160307	'Fatimid Caliphate'@en
Q199688-P1365-Q160307-b1eb37ad-0-P828	Q199688-P1365-Q160307-b1eb37ad-0		P828	'has cause'@en	unknown	
Q199688-P1365-Q160307-b1eb37ad-0-P828-ckgP1	Q199688-P1365-Q160307-b1eb37ad-0-P828		ckgr9	ckg:Context Type	ckgP1	Provenance
Q205718-P1365-Q160307-0f8cbd73-0	Q205718	'Zirid dynasty'@en	P1365	'replaces'@en	Q160307	'Fatimid Caliphate'@en
Q205718-P1365-Q160307-0f8cbd73-0-P580	Q205718-P1365-Q160307-0f8cbd73-0		P580	'start time'@en	unknown	
Q205718-P1365-Q160307-0f8cbd73-0-P580-ckgT1	Q205718-P1365-Q160307-0f8cbd73-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
Q205718-P1365-Q160307-0f8cbd73-0	Q205718	'Zirid dynasty'@en	P1365	'replaces'@en	Q160307	'Fatimid Caliphate'@en
Q205718-P1365-Q160307-0f8cbd73-0-P585	Q205718-P1365-Q160307-0f8cbd73-0		P585	'point in time'@en	unknown	
Q205718-P1365-Q160307-0f8cbd73-0-P585-ckgT1	Q205718-P1365-Q160307-0f8cbd73-0-P585		ckgr9	ckg:Context Type	ckgT1	Temporal
Q205718-P1365-Q160307-0f8cbd73-0	Q205718	'Zirid dynasty'@en	P1365	'replaces'@en	Q160307	'Fatimid Caliphate'@en
Q205718-P1365-Q160307-0f8cbd73-0-P828	Q205718-P1365-Q160307-0f8cbd73-0		P828	'has cause'@en	unknown	
Q205718-P1365-Q160307-0f8cbd73-0-P828-ckgP1	Q205718-P1365-Q160307-0f8cbd73-0-P828		ckgr9	ckg:Context Type	ckgP1	Provenance
Q232806-P1365-Q160307-5bf1f061-0	Q232806	'County of Edessa'@en	P1365	'replaces'@en	Q160307	'Fatimid Caliphate'@en
Q232806-P1365-Q160307-5bf1f061-0-P580	Q232806-P1365-Q160307-5bf1f061-0		P580	'start time'@en	unknown	
Q232806-P1365-Q160307-5bf1f061-0-P580-ckgT1	Q232806-P1365-Q160307-5bf1f061-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
Q232806-P1365-Q160307-5bf1f061-0	Q232806	'County of Edessa'@en	P1365	'replaces'@en	Q160307	'Fatimid Caliphate'@en
Q232806-P1365-Q160307-5bf1f061-0-P585	Q232806-P1365-Q160307-5bf1f061-0		P585	'point in time'@en	unknown	
Q232806-P1365-Q160307-5bf1f061-0-P585-ckgT1	Q232806-P1365-Q160307-5bf1f061-0-P585		ckgr9	ckg:Context Type	ckgT1	Temporal
Q232806-P1365-Q160307-5bf1f061-0	Q232806	'County of Edessa'@en	P1365	'replaces'@en	Q160307	'Fatimid Caliphate'@en
Q232806-P1365-Q160307-5bf1f061-0-P828	Q232806-P1365-Q160307-5bf1f061-0		P828	'has cause'@en	unknown	
Q232806-P1365-Q160307-5bf1f061-0-P828-ckgP1	Q232806-P1365-Q160307-5bf1f061-0-P828		ckgr9	ckg:Context Type	ckgP1	Provenance
Q235030-P1365-Q160307-5c540cd9-0	Q235030	'Principality of Antioch'@en	P1365	'replaces'@en	Q160307	'Fatimid Caliphate'@en
Q235030-P1365-Q160307-5c540cd9-0-P580	Q235030-P1365-Q160307-5c540cd9-0		P580	'start time'@en	unknown	
Q235030-P1365-Q160307-5c540cd9-0-P580-ckgT1	Q235030-P1365-Q160307-5c540cd9-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
Q235030-P1365-Q160307-5c540cd9-0	Q235030	'Principality of Antioch'@en	P1365	'replaces'@en	Q160307	'Fatimid Caliphate'@en
Q235030-P1365-Q160307-5c540cd9-0-P585	Q235030-P1365-Q160307-5c540cd9-0		P585	'point in time'@en	unknown	
Q235030-P1365-Q160307-5c540cd9-0-P585-ckgT1	Q235030-P1365-Q160307-5c540cd9-0-P585		ckgr9	ckg:Context Type	ckgT1	Temporal
Q235030-P1365-Q160307-5c540cd9-0	Q235030	'Principality of Antioch'@en	P1365	'replaces'@en	Q160307	'Fatimid Caliphate'@en
Q235030-P1365-Q160307-5c540cd9-0-P828	Q235030-P1365-Q160307-5c540cd9-0		P828	'has cause'@en	unknown	
Q235030-P1365-Q160307-5c540cd9-0-P828-ckgP1	Q235030-P1365-Q160307-5c540cd9-0-P828		ckgr9	ckg:Context Type	ckgP1	Provenance
Q272033-P1365-Q160307-5c7434dd-0	Q272033	'County of Tripoli'@en	P1365	'replaces'@en	Q160307	'Fatimid Caliphate'@en
Q272033-P1365-Q160307-5c7434dd-0-P580	Q272033-P1365-Q160307-5c7434dd-0		P580	'start time'@en	unknown	
Q272033-P1365-Q160307-5c7434dd-0-P580-ckgT1	Q272033-P1365-Q160307-5c7434dd-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
Q272033-P1365-Q160307-5c7434dd-0	Q272033	'County of Tripoli'@en	P1365	'replaces'@en	Q160307	'Fatimid Caliphate'@en
Q272033-P1365-Q160307-5c7434dd-0-P585	Q272033-P1365-Q160307-5c7434dd-0		P585	'point in time'@en	unknown	
Q272033-P1365-Q160307-5c7434dd-0-P585-ckgT1	Q272033-P1365-Q160307-5c7434dd-0-P585		ckgr9	ckg:Context Type	ckgT1	Temporal
Q272033-P1365-Q160307-5c7434dd-0	Q272033	'County of Tripoli'@en	P1365	'replaces'@en	Q160307	'Fatimid Caliphate'@en
Q272033-P1365-Q160307-5c7434dd-0-P828	Q272033-P1365-Q160307-5c7434dd-0		P828	'has cause'@en	unknown	
Q272033-P1365-Q160307-5c7434dd-0-P828-ckgP1	Q272033-P1365-Q160307-5c7434dd-0-P828		ckgr9	ckg:Context Type	ckgP1	Provenance
Q55502-P1365-Q160307-d98c1649-0	Q55502	'Kingdom of Jerusalem'@en	P1365	'replaces'@en	Q160307	'Fatimid Caliphate'@en
Q55502-P1365-Q160307-d98c1649-0-P580	Q55502-P1365-Q160307-d98c1649-0		P580	'start time'@en	unknown	
Q55502-P1365-Q160307-d98c1649-0-P580-ckgT1	Q55502-P1365-Q160307-d98c1649-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
Q55502-P1365-Q160307-d98c1649-0	Q55502	'Kingdom of Jerusalem'@en	P1365	'replaces'@en	Q160307	'Fatimid Caliphate'@en
Q55502-P1365-Q160307-d98c1649-0-P585	Q55502-P1365-Q160307-d98c1649-0		P585	'point in time'@en	unknown	
Q55502-P1365-Q160307-d98c1649-0-P585-ckgT1	Q55502-P1365-Q160307-d98c1649-0-P585		ckgr9	ckg:Context Type	ckgT1	Temporal
Q55502-P1365-Q160307-d98c1649-0	Q55502	'Kingdom of Jerusalem'@en	P1365	'replaces'@en	Q160307	'Fatimid Caliphate'@en
Q55502-P1365-Q160307-d98c1649-0-P828	Q55502-P1365-Q160307-d98c1649-0		P828	'has cause'@en	unknown	
Q55502-P1365-Q160307-d98c1649-0-P828-ckgP1	Q55502-P1365-Q160307-d98c1649-0-P828		ckgr9	ckg:Context Type	ckgP1	Provenance
Q588672-P1365-Q160307-81a9864a-0	Q588672	'Hammadid dynasty'@en	P1365	'replaces'@en	Q160307	'Fatimid Caliphate'@en
Q588672-P1365-Q160307-81a9864a-0-P580	Q588672-P1365-Q160307-81a9864a-0		P580	'start time'@en	unknown	
Q588672-P1365-Q160307-81a9864a-0-P580-ckgT1	Q588672-P1365-Q160307-81a9864a-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
Q588672-P1365-Q160307-81a9864a-0	Q588672	'Hammadid dynasty'@en	P1365	'replaces'@en	Q160307	'Fatimid Caliphate'@en
Q588672-P1365-Q160307-81a9864a-0-P585	Q588672-P1365-Q160307-81a9864a-0		P585	'point in time'@en	unknown	
Q588672-P1365-Q160307-81a9864a-0-P585-ckgT1	Q588672-P1365-Q160307-81a9864a-0-P585		ckgr9	ckg:Context Type	ckgT1	Temporal
Q588672-P1365-Q160307-81a9864a-0	Q588672	'Hammadid dynasty'@en	P1365	'replaces'@en	Q160307	'Fatimid Caliphate'@en
Q588672-P1365-Q160307-81a9864a-0-P828	Q588672-P1365-Q160307-81a9864a-0		P828	'has cause'@en	unknown	
Q588672-P1365-Q160307-81a9864a-0-P828-ckgP1	Q588672-P1365-Q160307-81a9864a-0-P828		ckgr9	ckg:Context Type	ckgP1	Provenance
Q1796198-P1365-Q199688-42ec0cd3-0	Q1796198	'Kingdom of Córdoba'@en	P1365	'replaces'@en	Q199688	'Almohad Caliphate'@en
