id	node1	node1;label	label	node2	node2;label	id	node1	node1;label	label	node2	node2;label	id	node1	node1;label	label	node2	node2;label	id	node1	node1;label	label	node2	node2;label	id	node1	node1;label	label	node2	node2;label	id	node1	node1;label	label	node2	node2;label	id	node1	node1;label	label	node2	node2;label	id	node1	node1;label	label	node2	node2;label
e30	h4v2	Salvador	h4r7	h4v1	Estado do Brasil	q301	e30		h4q1	^1549		q302	e30		h4q2	^1572		q303	e30		h4q3	h4v26	Mundo Educação - Governo Geral	e21	h4v6	Rio de Janeiro	h4r7	h4v1	Estado do Brasil	q211	e21		h4q1	^1763		q212	e21		h4q2	^1815		unknown	e21		h4q3	unknown	unknown
e18	h4v2	Salvador	h4r7	h4v1	Estado do Brasil	q181	e18		h4q1	^1577		q182	e18		h4q2	^1624		unknown	e18		h4q3	unknown	unknown	e21	h4v6	Rio de Janeiro	h4r7	h4v1	Estado do Brasil	q211	e21		h4q1	^1763		q212	e21		h4q2	^1815		unknown	e21		h4q3	unknown	unknown
e19	h4v5	Olinda	h4r7	h4v1	Estado do Brasil	q191	e19		h4q1	^1624		q192	e19		h4q2	^1625		unknown	e19		h4q3	unknown	unknown	e21	h4v6	Rio de Janeiro	h4r7	h4v1	Estado do Brasil	q211	e21		h4q1	^1763		q212	e21		h4q2	^1815		unknown	e21		h4q3	unknown	unknown
e20	h4v2	Salvador	h4r7	h4v1	Estado do Brasil	q201	e20		h4q1	^1625		q202	e20		h4q2	^1763		unknown	e20		h4q3	unknown	unknown	e21	h4v6	Rio de Janeiro	h4r7	h4v1	Estado do Brasil	q211	e21		h4q1	^1763		q212	e21		h4q2	^1815		unknown	e21		h4q3	unknown	unknown
